회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,보건,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,진흥,17.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,박상근,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,급식,37.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,과로,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,표기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,분장,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,메일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,간부,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,말씀,16.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,직속,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,답변,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,쓰레기,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,피부,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,소비자,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,아프리카,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,돼지,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,열병,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,농장,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,정리,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,그게,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,폐기물관리법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,과도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,음식물,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,감량,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,렌털,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,수거,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,조례,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,자치구,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,천적,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,영양,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,친환경,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,제품,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,전통,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,음식,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,관점,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,하드웨어,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,사람과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,감염병,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,식중독,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,식당,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,배식,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,권장,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,고요,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,코로나,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,투명,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,가림,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,보통,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,교대,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,전교생,1.0
