회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,안녕하십니까,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,안전,16.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,공제,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,김형,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,존경,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,김용연,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,부위,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,병주,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,매우,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,순서대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,연혁,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,참고,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,현원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,이사회,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,보상,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,자문,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,사무국,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,부와,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,공제사업,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,부로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,특정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,비정규직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,나머지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,전산,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,모바일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,이메일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,팩스,1.0
