회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,인류,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,역사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,선사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,유적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,강동구,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,인구,17.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,말씀,97.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,먼저,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,대미,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,문의,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,코로나,30.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,사태,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,애로,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,등교,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,반년,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,교문,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,초기,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,온라인,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,방역,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,주체,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,점차,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,나름,23.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,교직원,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,고생,18.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,패러다임,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,정립,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,시적,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,위드,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,시점,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,임기,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,종반,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,중고생,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,아쉬움,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,복지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,얘기,81.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,지난번,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,뭔가,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,입안,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,실행,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,측면,53.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,지출,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,고정,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,간다,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,어차피,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,예산,77.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,수반,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,필수,4.0
