회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,강서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,이명,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,아현,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,보시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,코로나,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,오프라인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,주가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,온라인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,거기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,부응,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,기기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,매체,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,강구,1.0
