회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,측면,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,팬데믹,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,탐구,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,전개,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,메타,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,창의력,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,메이커,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,프로젝트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,대면,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,콘텐츠,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,자문,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,말씀,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,앞서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,전시관,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,직접,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,실시간,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,가상,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,천문,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,온라인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,천문대,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,교육과정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,양민,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,본회의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,관해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,숙원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,후의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,남아,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,타당성조사,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,파크,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,덕수고,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,적지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,융합,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,부서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,사정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,관계도,1.0
