회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,본부장,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,김재환,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,강서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,직접,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,그다음,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,청소,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,관리자,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,실장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,면담,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,뿌리,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,자동차,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,먼지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,세제,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,발라,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,걸레질,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,얼룩,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,실효,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,발주,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,별로,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,유리창,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,예산,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,매년,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,형태,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,불만,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,유리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,그대로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,조달청,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,기성품,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,아마,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,상수도,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,부가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,소관,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,답변,1.0
