회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,안전,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,이용식,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,수능,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,듣기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,차로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,지원청,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,중등교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,유무,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,예산,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,세밀,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,그게,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,관성,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,얘기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,학부모,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,구성원,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,로서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,고요,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,답변,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,의사결정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,한번,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,말씀,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,옥상,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,방수,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,노출,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,시트,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,거량,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,폐기물,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,발생량,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,액체,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,시공,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,처리량,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,누수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,부위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,장점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,조언,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,공법,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,콘크리트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,공기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,그린,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,스마트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,특정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,기적,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,문제점,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,서도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,설득,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,회도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,이해도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,숙의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,취지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,법령,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,차양,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,품질,1.0
