회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,정보원,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,미원,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,서울특별시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,활성화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,조례,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,비공개,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,나머지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,특정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,오픈,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,문의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,요즘,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,각도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,저작권,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,초상권,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,야기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,방어,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,준수,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,리기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,어쨌든,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,말씀,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,용역,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,군데,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,선린,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,성수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,폐교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,그다음,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,보건,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,체적,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,실과,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,다해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,트랙,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,듭니,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,구사,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,노하우,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,호기심,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,재능,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,발휘,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,전문직,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,오신,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,이기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,내면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,밑받침,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,거기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,양해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,인계,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,배정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,추후,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,유념,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,신경,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,지능,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,정보사회,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,진흥,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,니아,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,포털,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,지원청,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,유관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,업데이트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,수의계약,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,방재,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,정법,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,한시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,유찰,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,그거,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,건수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,고요,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,연구소,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,탑재,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,링크,1.0
