회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,교육재정,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,조성래,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,자율,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,회계,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,전출,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,칠판,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,예산,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,미리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,물량,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,별로,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,카운트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,배분,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,조달청,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,자단,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,가로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,가격,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,입찰,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,사양,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,전자칠판,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,교부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,자율성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,그다음,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,문호,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,일괄,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,도록,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,발주,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,중등교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,원격교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,스마트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,기기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,연동,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,거기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,의거,1.0
