회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,선서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,본인,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,서울특별시,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,지방자치법,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,소관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,사무,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,감사,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,양심,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,보탬,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,그대로,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,거짓,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,위증,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,맹세,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,효선,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,밀착,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,정보원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,응답,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,만점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,체감,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,관점,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,얘기,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,어진,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,생기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,직접,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,위상,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,한번,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,지원청,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,별로,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,학교폭력,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,그다음,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,주로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,정상화,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,전념,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,교사,17.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,정착,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,연관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,실질,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,깊이,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,고요,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,자격증,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,점수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,세월,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,임기,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,내지,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,최대한,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,지점,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,오신,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,배제,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,첨언할,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,주시,3.0
