회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,선서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,본인,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,서울특별시,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,지방자치법,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,소관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,사무,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,감사,15.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,양심,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,보탬,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,그대로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,거짓,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,위증,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,맹세,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,교육행정,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,이병호,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,예산,23.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,배정,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,노후,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,사물함,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,교부,13.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,연한,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,추경,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,예산안,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,의결,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,아시,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,치중,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,금년,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,도의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,산이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,거기,20.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,추가경정예산,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,유재원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,회계,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,연도,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,납품,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,리라,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,수량,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,대략,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,개입,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,적기,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,이월,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,그거,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,얘기,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,용역,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,그게,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,내지,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,보완,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,정성,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,국교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,수행,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,수익,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,도모,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,이기,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,개념,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,사업자,1.0
