회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,은평구,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,권순선,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,행감,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,로서,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,진척,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,기도,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,답변,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,점도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,거기,58.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,본회의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,무직,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,지난번,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,단체행동,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,곤란,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,안이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,층위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,과거,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,역사,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,그거,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,시점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,최소한,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,정리,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,비정규직,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,정규직,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,얘기,43.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,별로,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,측면,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,교육활동,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,예전,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,관리원,4.0
