회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,학칙,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,이사회,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,서로,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,최대한,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,정리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,타당,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,그게,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,지당,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,경찰청,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,통학로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,정차,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,수정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,고요,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,경비,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,보조금,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,법적,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,거나,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,수동,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,비공식,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,궁극,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,표현,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,한계,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,일찍,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,복지부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,사회보장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,말씀,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,필기구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,학용품,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,초등학교,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,축하,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,추경,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,조례,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,법률,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,바람,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,먼저,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,예산,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,교육부,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,유보,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,예년,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,책정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,여유,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,평탄,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,자하,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,중대,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,재해,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,특수교육,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,측면,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,그다음,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,그린,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,스마트,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,스쿨,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,증원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,수행,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,주의,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,전혀,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,진척,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,안이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,거기,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,중투,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,부적,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,모델링,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,절실,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,원금,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,청장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,예산안,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,부안,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,교복,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,등교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,의복,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,기기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,교구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,구류,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,복지,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,심의회,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,품목,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,지점,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,체육복,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,음식,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,주로,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,교재,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,표기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,세금,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,평생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,보지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,원자,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,결격,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,모시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,이해해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,주시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,중이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,임기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,성심껏,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,성비,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,위촉,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,조만간,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,소명,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,남성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,행정감사,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,양쪽,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,보정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,기억,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,법률자문,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,자원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,날짜,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,장애인,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,고용,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,무직,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,초과,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,교사,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,누적,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,부감,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,서도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,보이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,교육행정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,갑작스레,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,적응,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,아마,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,서면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,활동가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,실행,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,일람,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,특이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,조회,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,응모,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,별로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,독자,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,전문성,1.0
