회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,노원,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,선거구,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,민주당,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,김생,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,코로나,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,폐단,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,격차,23.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,생기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,심화,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,말씀,20.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,고요,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,산출,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,차이,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,나기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,얘기,31.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,문제점,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,등교,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,원래,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,대체,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,일종,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,보완,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,전가,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,태도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,정서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,부진,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,사교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,의존,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,도도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,가정은,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,그게,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,깊이,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,나름,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,자율,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,별로,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,그다음,17.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,하라,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,예산,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,듭니,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,잘못,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,고착,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,수가,13.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,손해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,계층,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,뭔가,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,년대,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,동감,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,중앙정부,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,교육부,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,정체,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,종식,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,서도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,대응,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,부탁,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,하여튼,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,대도시,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,과밀,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,과소,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,반경,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,아주,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,식당,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,화장실,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,가까이,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,교사,21.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,데리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,폐교,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,종사,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,인구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,편차,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,거기,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,학부모,13.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,피하,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,위장전입,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,정답,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,복지,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,지원이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,달라,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,크게,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,김용연,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,부위,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,병주,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,교대,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,감사,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,동진,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,서라벌,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,난파선,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,항해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,먼저,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,이사회,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,적기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,경력,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,임용,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,제청,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,결강,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,보강,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,반복,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,공익,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,보복,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,리기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,개입,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,아마,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,시간제,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,보통,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,제나,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,고스,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,계시,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,북부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,명성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,선호,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,갑자기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,추락,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,귀결,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,연속,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,기미,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,전혀,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,보이지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,재판,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,중이,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,가처분,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,납득,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,변호사,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,누가,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,선임,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,직접,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,트랙,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,어차피,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,선비,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,축소,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,불이익,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,가기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,오지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,부감,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,조속,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,간단,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,총무,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,관리직,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,비위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,폭행,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,횡령,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,강제추행,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,도박,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,절도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,죄질,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,직종,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,질도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,이분,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,공직,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,기강,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,확립,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,실장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,한번,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,여론조사,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,리얼미터,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,금년,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,꼴등,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,예전,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,강남,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,번복,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,그린,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,스마트,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,악화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,접근,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,계세,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,지지도,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,성적표,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,신경,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,지지자,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,눈치,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,수행,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,겸허,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,이기,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,주기,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,행감,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,수감,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,수고,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,거나,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,퇴보,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,유도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,부여,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,동료,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,점수,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,중임,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,배제,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,가요,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,정년,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,부임,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,지로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,대략,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,프로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,느낌,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,보지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,부모님,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,도달,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,막상,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,제대로,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,아예,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,완전,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,벽창호,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,요즘,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,극적,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,심리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,견제,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,동기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,본인,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,분발,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,임기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,치가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,강등,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,진짜,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,하나로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,평생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,급식,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,잘해야,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,중식,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,결식,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,재난,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,원금,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,라면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,도시락,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,식료,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,품목,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,불만,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,중간,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,편의점,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,물량들,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,품절,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,점심,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,답변,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,제품,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,초기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,사후,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,요거트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,과채,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,쥬스,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,우유,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,간식,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,유제품,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,자평,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,부류,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,식사,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,기금,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,애초,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,전적,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,자문,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,기구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,보편,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,실수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,체면,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,꼴찌,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,합당,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,자살,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,이호,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,자살률,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,매년,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,고등학생,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,명꼴,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,보시,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,검진,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,심각,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,정열,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,절대,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,스웨덴,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,위인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,초등학교,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,과일,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,초등학생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,국정,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,청취,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,중인,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,교총,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,전교조,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,과중,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,안전성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,일회용품,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,화가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,농림수산부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,수집,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,당사자,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,구분,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,개념,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,간혹,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,외국,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,복도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,배려,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,조율,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,음식물,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,쓰레기,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,발생량,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,액수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,소요,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,아시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,군데,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,소트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,청원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,노원구,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,메모,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,한성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,하나고,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,비교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,한성은,1.0
