회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,동대문구,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,선거구,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,의정,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,김수,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,진심,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,감사,16.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,요새,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,유행,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,오징어,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,게임,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,그거,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,한류,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,몰입,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,신체,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,구조도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,사고력,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,리라,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,일환,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,주요한,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,동대문,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,창작,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,영화제,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,교육지원청,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,장님,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,한번,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,서경수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,교육장,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,부임,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,순방,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,문제점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,글로벌,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,지식,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,아시,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,주시,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,초등학교,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,조희연,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,신경,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,방금,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,서도,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,말씀,19.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,모제,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,이영기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,배턴,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,영화,1.0
