회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,사학법,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,사립학교,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,정규직,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,교사,30.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,여기저기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,조사해,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,주시,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,거기,16.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,존경,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,병주,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,부위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,보충,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,종전,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,한번,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,말씀,21.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,도면,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,가미,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,그린,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,스마트,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,개축,26.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,용어,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,법률,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,형태,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,면적,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,층수,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,그대로,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,학부형,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,면학,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,분위기,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,증축,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,내지,17.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,재생,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,지난번,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,상부,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,예산,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,수가,16.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,평면,1.0
