회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,말씀,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,예산,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,기관지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,고요,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,소개,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,기사도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,그다음,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,교양,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,성의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,발행,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,부수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,한번,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,편집,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,연직,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,교사,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,무직,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,여름,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,가을,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,겨울,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,계절,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,별로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,주축,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,실장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,이분,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,아시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,유튜브,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,독자,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,그린,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,스마트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,지난번,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,추경,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,증액,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,덕분,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,방송광고,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,광고,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,송출,1.0
