회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,부석,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,교육장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,서경수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,맞이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,자로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,부임,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,마침,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,기적,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,창작,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,영화제,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,참관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,원래,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,답십리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,영화촬영소,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,동답,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,초등학교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,일치,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,영화,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,한번,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,초등학생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,세인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,중학생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,고등학생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,재직,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,최재광,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,서도,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,뭔가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,화교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,자치구,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,측면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,사업인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,종합예술,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,맥락,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,어가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,특구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,관해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,교육지원청,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,거듭,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,한류,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,열풍,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,경제성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,예산,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,표명,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,간의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,협업,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,아마,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,듣기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,용역,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,성은,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,산이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,교육과정,1.0
