회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,마포평생학습관,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,김원식,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,흡연실,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,송구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,흡연,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,정식,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,서교,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,초등학교,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,이용자,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,평생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,습관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,거기,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,골목,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,유동,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,구가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,담배,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,그냥,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,담벼락,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,입구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,구석,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,주지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,상점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,구도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,통제,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,다기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,옥상,1.0
