회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,수고,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,부서,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,하나요,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,감사,25.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,관실,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,정실,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,거기,44.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,별로,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,측이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,도나,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,실행,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,계시,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,어서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,개개인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,성실,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,수행,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,불구,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,두려움,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,경직,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,합당,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,보상,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,미흡,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,가기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,포기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,최소한,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,무과,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,실장,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,행정부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,래야,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,말발,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,보편,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,그거,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,잘못,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,거란,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,지난번,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,보더,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,보통,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,상의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,대충,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,가요,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,말단,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,전혀,21.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,승진,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,머리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,거지,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,통용,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,의향,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,일일이,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,열거,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,실적,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,신가,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,포상,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,아무,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,본래,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,이기,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,범죄,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,건수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,주기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,영민,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,모토로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,주로,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,지원이,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,학부모,19.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,찬동,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,책정,2.0
