회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,해룡,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,명시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,그게,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,일일이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,전화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,말씀,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,주시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,자치구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,초등학교,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,계해,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,고요,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,예산,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,가까이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,인건비,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,신경,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,논점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,정리,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,젠더,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,오해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,관리자,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,측면,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,박차,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,그다음,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,학부모,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,요즘,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,흐름,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,인성,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,부적,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,간의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,모국,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,상급,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,진학,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,다문화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,최대한,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,협업,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,터득,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,교육부,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,증액,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,부모님,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,부응,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,조언,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,주축,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,성교육,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,문화센터,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,보건,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,성인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,감수성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,자로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,비중,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,팽배,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,부하,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,자문,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,외부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,비롯,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,화조,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,관점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,역사,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,가야,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,용어,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,우리말,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,순화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,복귀,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,법률상,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,교육법,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,미인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,이기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,통칭,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,존경,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,활성화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,초등학생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,연령,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,학생회장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,담임,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,스스로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,서로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,제라,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,얘기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,일주일,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,대안교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,추천,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,거기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,책임감,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,분류,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,평생교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,유기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,어가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,먼저,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,안전,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,놨기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,재취,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,편입학,1.0
