회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,선서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,본인,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,서울특별시,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,지방자치법,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,소관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,사무,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,감사,21.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,양심,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,보탬,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,그대로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,거짓,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,위증,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,맹세,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,김규태,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,안녕하십니까,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,의정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,불구,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,존경,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,김용연,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,병주,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,부위,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,항상,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,염두,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,상응,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,주시,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,말씀,115.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,임기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,코로나,21.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,시국,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,래서,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,더욱,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,고견,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,매우,19.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,배움,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,먼저,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,배석,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,간부,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,소개,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,승복,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,정실,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,현석,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,이민,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,최웅,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,무과,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,안전,22.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,예산,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,광철,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,이문수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,전종,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,노사,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,교육지원청,17.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,교육장,16.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,서경수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,상숙,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,조용훈,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,북부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,권혁,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,중부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,주식,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,강동,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,송파,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,백정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,강서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,양천,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,강남,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,서초,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,유인숙,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,동작,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,관악,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,강연,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,광진,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,최규애,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,성북,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,강북,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,직속,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,미원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,정보원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,방역,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,일상,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,공존,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,변곡점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,맞이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,등교,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,대응,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,제로,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,전인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,본질,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,상생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,소명,2.0
