회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,김생,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,수고,39.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,김수,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,이내,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,주시,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,보충,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,보완,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,양민,22.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,영민,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,그린,30.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,스마트,31.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,크게,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,가짜,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,먼저,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,첫째,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,학부모,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,난무,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,저항,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,번지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,로서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,정량,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,정성,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,내진,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,성능,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,보유,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,보강,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,그다음,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,석면,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,좌우,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,재개발,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,재건축,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,포인트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,항목,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,안전,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,등급,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,최소한,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,별로,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,그게,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,정해진,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,미래학,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,교가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,개교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,나중,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,런가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,한번,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,보시,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,경과,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,의도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,어쨌든,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,노후,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,교사,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,개축,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,부여,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,노이로제,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,어차피,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,굳이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,말씀,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,단어,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,오해,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,자꾸,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,일어나고,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,전혀,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,상관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,소지,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,계시,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,시오,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,추경,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,예산,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,진짜,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,아예,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,방초,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,옛날,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,일환,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,정체,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,불명,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,보더,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,정의,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,부서,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,이동현,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,교육부,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,교육행정,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,취지,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,모델링,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,간조,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,전인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,인간,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,인성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,운영체제,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,교육과정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,지원이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,부모님,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,금액,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,대방,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,초등학교,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,문서,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,뭔가,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,찬반,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,서울대,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,서명,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,추정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,거기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,분량,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,종이,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,태블릿,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,전자책,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,이로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,신체,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,정신,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,출입,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,무선인터넷,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,미로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,잘못,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,오해해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,교과목,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,저하,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,명문,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,간다,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,절대,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,출입문,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,조화,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,배달,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,정리,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,멘트,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,실장,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,책자,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,김용연,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,부위,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,건축학개론,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,순서,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,답변,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,이호,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,오버,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,양해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,권순선,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,부도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,감사,43.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,휴식,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,이의,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,선포,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,인구,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,이석주,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,총무,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,정실,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,교육지원청,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,장님,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,실질,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,상임,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,실의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,실내,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,기도,1.0
