회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,영양,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,교사,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,선비,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,영양사,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,제라,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,개진,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,의원님,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,이기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,공동관리,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,체건,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,급식,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,유아교육,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,필순,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,말씀,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,지원이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,예산,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,증액,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,교육부,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,권장,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,워낙,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,커서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,보건,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,전혀,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,코로나,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,지역별,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,별로,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,지원청,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,부서,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,건의,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,배정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,라서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,병설,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,초등학교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,해주시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,겸임,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,교무,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,침대,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,케어,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,아마,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,조만간,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,고요,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,지난번,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,원로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,주기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,조무사,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,자격증,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,어쨌든,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,간호사,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,무직,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,더욱,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,박차,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,원래,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,관리자,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,도록,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,지식,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,이요,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,리기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,점차,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,실행,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,무상급식,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,의무교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,가게,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,최대한,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,원격지원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,직접,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,최소한,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,수가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,그거,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,비도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,사태,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,시선,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,보지,1.0
