회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,광진구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,병주,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,실장,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,장애인,47.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,고용,16.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,고용부,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,아시,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,원래,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,만물,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,듯이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,재활,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,영화,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,언터처블,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,우정,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,뭔가,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,억만장자,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,스스로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,거동,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,필립,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,상위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,주인공,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,신체,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,간병인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,드리스,1.0
