회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,정독,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,이길환,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,국민신문고,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,제법,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,대략,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,통계,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,금년,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,편이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,고요,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,서대문,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,내외,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,편입,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,대응,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,기도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,때로는,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,수가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,강좌,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,수강생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,분만,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,보통,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,주로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,서면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,답변,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,정말,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,청과,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,사서,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,강서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,관장,1.0
