회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,얘기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,안전,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,통계,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,교직원,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,잡고,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,방역,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,국도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,어쨌든,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,접종,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,돌파,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,감염,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,대다수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,총괄,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,내외,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,백신,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,세밀,1.0
