회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,중등교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,윤호,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,말씀,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,코로나,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,상위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,중위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,부진,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,염려,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,초등교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,일상,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,등교,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,통한,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,정상화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,전제,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,결손,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,심리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,상의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,보완,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,제라,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,키다리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,케어,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,유념,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,비위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,어쨌든,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,인성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,성교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,매체,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,접촉,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,감당,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,내지,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,실질,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,교육과정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,연령,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,차이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,비교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,원격교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,희롱,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,표현,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,수가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,대면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,완화,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,불구,1.0
