회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,오정훈,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,서면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,노출,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,수급,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,나무,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,계해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,나머지,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,원격,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,재택,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,추산,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,교사,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,통계,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,형태,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,급식,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,소득,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,초등학교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,등교,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,이기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,낙인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,중복,1.0
