회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,초등교육,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,강연,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,코로나,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,격차,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,심화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,거기,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,추후,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,보정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,일관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,초등학교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,위로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,일주일,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,담임,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,관계성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,관찰,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,말씀,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,아마,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,부진,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,통계,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,추구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,발굴,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,보완,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,맞벌이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,정이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,저출산,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,국교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,교육활동,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,고수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,어가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,사의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,형편,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,차이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,사대,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,겸용,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,학폭,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,안전,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,조사해,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,싸움,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,로만,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,건수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,상승,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,무직,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,보육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,교사,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,방과,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,애니메이션,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,고학년,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,계해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,그거,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,저학년,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,장소,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,여유,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,모델링,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,도서실,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,물질,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,한번,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,제대로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,참고,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,수정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,유념,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,학부모,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,길라잡이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,먼저,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,세심,1.0
