회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,후생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,복지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,포상,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,교육부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,성격,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,수치,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,기억,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,거기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,총괄,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,총무,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,최웅,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,화장실,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,가야,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,말씀,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,필기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,지자체,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,비롯,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,임신부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,과민성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,대장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,증세,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,응시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,허락,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,고요,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,직도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,추후,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,일괄,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,개진,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,인권위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,폭력,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,부서,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,별로,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,이수,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,금년,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,근로자,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,성희롱,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,성매매,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,성폭력,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,가정폭력,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,금방,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,여가부,2.0
