회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,선서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,본인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,서울특별시,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,지방자치법,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,소관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,사무,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,감사,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,양심,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,보탬,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,그대로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,거짓,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,위증,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,맹세,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,평생,16.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,혜성,15.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,설비,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,아마,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,별로,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,카페,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,형식,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,이용자,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,편리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,군데,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,거기,13.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,기숙사,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,보유,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,통계,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,그다음,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,폭력,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,교가,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,미보,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,유교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,학교폭력,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,간과,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,교사,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,간도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,그거,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,가이드라인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,조례,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,고요,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,골프,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,연습장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,초등학교,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,서민,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,정착,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,옛날,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,특정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,계층,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,완화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,방과후,1.0
