회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,보건,21.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,진흥,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,임영식,13.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,기억,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,공산품,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,가격,27.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,관해,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,한번,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,친환경,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,급식,20.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,한정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,나중,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,영양,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,직접,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,면담,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,최대한,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,매월,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,물가,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,사지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,그거,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,발주,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,달라,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,메시지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,물품,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,아마,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,책정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,영양사,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,교사,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,그림,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,협회,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,납품,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,특정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,제품,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,표기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,거기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,결재,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,알기,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,무상급식,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,식당,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,단가,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,참고,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,비도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,어쨌든,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,금방,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,말씀,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,농산물,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,농수산,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,조례,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,위임,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,한계,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,이기,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,조리,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,사원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,폐암,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,중인,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,환기,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,풍장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,치가,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,예산,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,용역,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,나머지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,송풍,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,코로나,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,블루,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,교직원,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,정신건강,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,치료,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,정서,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,교육부,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,선제,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,나이스,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,식단,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,경위,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,야채,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,준수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,위생,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,우유,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,식이,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,마진,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,적기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,고요,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,농림축산식품부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,식비,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,증액,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,가공품,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,취약,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,지하,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,반지하,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,송풍기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,영해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,표준,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,매뉴얼,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,고용노동부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,초면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,바탕,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,자살,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,분류,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,매년,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,유통,20.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,취급,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,한살림,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,나름,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,추측,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,그대로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,중간,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,수수료,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,납부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,수산물,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,축산물,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,굳이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,내면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,이건,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,의사결정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,그게,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,약시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,유아기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,성격,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,사시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,수술,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,시력,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,특수교육,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,부서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,소요,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,일수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,음식물,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,쓰레기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,개별,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,별로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,종량제,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,봉투,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,쓰기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,종량,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,파란,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,냄새,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,정액,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,제로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,경기도,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,스캐너,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,배식,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,식판,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,대면,2.0
