회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,안정공,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,사무국,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,한창화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,말씀,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,전해,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,저번,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,자로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,감사,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,공제,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,이의신청,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,이내,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,당사자,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,수긍,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,취지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,관실,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,답변,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,드릴,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,전임,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,그게,1.0
