회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,디젤,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,시동,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,방금,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,말씀,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,조화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,인공,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,지능,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,학과,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,교육과정,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,주지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,예외,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,이내,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,방초,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,교사,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,과밀,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,출발점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,갈수록,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,학부모,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,나중,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,메리트,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,분도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,계시,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,부서,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,유총,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,사태,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,나름,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,불구,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,초등학교,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,병설,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,통학버스,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,온종일,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,율도,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,취학,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,수용률,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,북부,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,차이,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,어린이집,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,광진,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,부모님,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,취원율,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,강동,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,송파,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,재개발,1.0
