회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,이종,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,영월,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,교육장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,카라반,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,놨는데,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,코로나,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,거기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,야영장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,압니,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,비교,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,합리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,가격,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,수의계약,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,재무관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,총무,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,결제,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,감사,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,분원,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,본원,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,나중,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,통계,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,모이,1.0
