회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,코로나,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,주의,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,본관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,방역,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,준수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,대관,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,그다음,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,수영장,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,선수,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,강서,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,거기,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,수리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,청소,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,개장,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,말씀,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,저번,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,서로,2.0
