서울특별시의회 회의록 제277회[정례회] (2017.11.01 ~ 2017.12.20),주석
"고, 이후 2018년도 예산안과 조례",
시 행정사무감사 및 조사에 관한 조례,
시 행정사무감사 및 조사에 관한 조례,
 아이들에 대해서 관심을 가지고 조례,
서도 공문이 내려왔고 저희도 인권조례,
거라고 보거든요. 그러면 민간위탁조례,
으로 알았는데 바로 내일이네요. 조례,
있다고 합니다. 그런데 학생인권 조례,
가 말씀드리고 싶은 게 그것인데 조례,
"고, 그런데 학생인권종합계획이나 조례",학생인권조례의 문맥으로 볼 수 있을까요?(일단 제외하였습니다)
시 행정사무감사 및 조사에 관한 조례,
 보호조치를 강화하기 위해 관련 조례,
었습니다. 아울러 지방공무원 복무조례,
명이 5급 이상이 늘었는데 정원 조례,
시 행정사무감사 및 조사에 관한 조례,
"다. 담당관님, 아마 법적으로나 조례",
왔습니다. 그러면 4월 26일에 조례,
은 이 시행령이 바뀌고 그다음에 조례,
"을 들을 수 있다가 시행령이고, 조례",
에 처음 나간 거고요. 학부모회 조례,
시 행정사무감사 및 조사에 관한 조례,
시 행정사무감사 및 조사에 관한 조례,
주신 서울시교육청 행정기구 설치 조례,
울시교육감 소속 지방공무원 정원 조례,
러면 출연기관 운영에 관한 개별 조례,
든요. 상록과학재단 운영에 관한 조례,문맥 확인 결과 해당 조례가 없는 것으로 확인되어 제외하였습니다.
" 없습니다. 현재도 없고, 그게 조례",
 출연기관 운영에 관한 법률 및 조례,
였다고 판단되는 경우 관계법령과 조례,
시 행정사무감사 및 조사에 관한 조례,
"이기 때문에, 아시겠지만 저희가 조례",
벌규정이 따로 있잖아요. 아니면 조례,
시 행정사무감사 및 조사에 관한 조례,
시 행정사무감사 및 조사에 관한 조례,
다양한 분들이 계시고 통상적으로 조례,
 하고 있기 때문에……. 여기도 조례,
자 줄이자 하면서 이런 법률이나 조례,
습니다. 여기에 대해서도 우리가 조례,
어떻게 하라는 것이 없기 때문에 조례,
도 있어요. 상급기관에 의뢰해서 조례,
냐 하는 얘기를 충분히 검토해서 조례,
록과학학술재단 설립 운영에 관한 조례,27행과 같은 이유로 제외하였습니다.
육비특별회계 소관 공유재산 관리 조례,
2012년도부터는 공유재산 관리 조례,
 그 법에 의해서 해당 자치단체 조례,
경우 보조금 지급에 관한 법률과 조례,
"관한 법률에 의해서, 또는 동법 조례",앞에서 언급한 법률과 같은 법의 조례라는 문맥으로 이해하여 법률 이름과 같은 조례로 추가하였습니다.
는데 저희 서울시교육청 진로교육 조례,
런데 2017년 1월부터 화장실 조례,
기에서 세종시교육청 화장실 관리 조례,
를 방지하기 위해 법령 개정이나 조례,
없는 임의출연기관은 관련 법률과 조례,
 보더라도 굉장히 금액이 낮아서 조례,
"를 개정해서 올렸습니다, 제가. 조례",
편차가 있을 테니까 받도록 하는 조례,
. 수익률이 우리는 2015년에 조례,
는지 한번 파악해 보세요. 그때 조례,
" 보면 좋지 않을까, 관련 이런 조례",
 현재는 내려온 것은 없습니다. 조례,
습니다. 조례를 제정하든가 기존 조례,
 특히 이것을 뒷받침할 수 있는 조례,
 제정되어 있어서 본격적으로 그 조례,
 내용이고요. 그 내용은 위원님 조례,
시 행정사무감사 및 조사에 관한 조례,
시 행정사무감사 및 조사에 관한 조례,
 같습니다. 그래도 위원님들께서 조례,
 체벌은 그 지방뿐만 아니라 인권조례,
" 명이, 그런데 이게 서울시에서 조례",
그 중에서 13개 유치원은 이미 조례,
머지 2개 원 같은 경우는 현재 조례,
"한 규정이 없지요, 규칙도 없고 조례",
. 어쨌든 방과후 학교와 관련한 조례,27행과 같은 이유로 제외하였습니다.
 첨예하게 다르기 때문에 사실은 조례,
그리고 현재 김생환 위원장님께서 조례,
"존중 받아야 되고, 특히 학생인권조례",
 좋겠어요. 제가 ′15년도인가 조례,
 서울시교육청 민주시민교육 진흥 조례,
우리 교육청의 민주시민교육 진흥 조례,
. 서울시에도 민주시민교육 지원 조례,
면 다 받을 수 있도록 하는 기본조례,문맥 상 민주시민교육 지원 조례라고 판단하여 추가하였습니다.
교육청 관련된 민주시민교육 지원 조례,민주시민교육 지원 / 진흥 조례 가 다른 것인지 전문을 보았을 때도 잘 모르겠어서 분리하였습니다.
"주시민교육 지원 조례예요, 진흥 조례",
 제도가 필요하면 제도를 만들고 조례,
 제도를 만들고 조례가 필요하면 조례,
되고요. 그런 면에서 이미 있는 조례,
"조례 그리고 그런 검토, 새로운 조례",
" 검토, 새로운 조례가 필요하면 조례",
서 서울특별시교육청 민주시민교육 조례,민주시민교육 조례안 공청회가 진행된다는 내용이어서 제외하였습니다.
