서울특별시의회 회의록 제290회[정례회] (2019.11.01 ~ 2019.12.20),주석
 이후에는 2020년도 예산안과 조례,
회 행정사무감사 및 조사에 관한 조례,
회 행정사무감사 및 조사에 관한 조례,
시교육감 행정권한의 위임에 관한 조례,
"다면, 알잖아요. 헌법 117조 조례",헌법 117조를 찾아서 넣을까 고민하다 일단 제외하였습니다.
 있습니다만 교육경비보조에 관한 조례,
주셔야 될 것 같습니다. 사실은 조례,
 개정 전에 0.4% 이내였는데 조례,
는데 조례 개정해서 0.6%인데 조례,
서울특별시 교육경비 보조에 관한 조례,
육경비 보조에 관한 조례 일부개정조례,
국장을 갖다가 위원장으로 하게끔 조례,
 한번 잘 살펴주시기 바랍니다. 조례,
니다만 여러 가지 문제가 있고요 조례,
적했습니다만 그나마 많이 축소된 조례,
회 행정사무감사 및 조사에 관한 조례,
 소속 지방공무원 겸임수당 지급 조례,
"겠다, 저도 이번에 끝나고 나면 조례",
추진비 집행기준 및 공개에 관한 조례,
들이 꽤 있습니다. 그리고 사실 조례,
씀을 드리겠습니다. 네. 여하튼 조례,
서는 시정 또는 환수ㆍ징계하도록 조례,
 공익제보 지원 및 보호에 관한 조례,
시 우리 서울특별시 행정사무감사 조례,서울특별시의회 행정사무감사 조례라고 판단하여 추가하였습니다.
런데 서울특별시의회 행정사무감사 조례,
회 행정사무감사 및 조사에 관한 조례,
마 여러 가지 우리 법령이라든가 조례,
있죠? 현재 29개인데 법령이나 조례,
이드라인을 만들거나 정 안 되면 조례,
월 26일 장학생 선발 및 관리 조례,
", 시행했지요? 네. 본 위원이 조례",
청 장학생 선발 및 관리에 관한 조례,
 있나요? 교육경비 보조에 관한 조례,
"경비 보조에 관한 조례, 서울시 조례",
"한 조례, 서울시 조례입니다 그 조례",
5년으로 하려는 의지가 확고해서 조례,
 오히려 실장님이 지키려고 했던 조례,
회 행정사무감사 및 조사에 관한 조례,
회 행정사무감사 및 조사에 관한 조례,
본적으로 시설 개방이라든가 관련 조례,
"육과 관련한 서울시의 규칙제정, 조례",
오. 집행부를 견제하고 감시하고 조례,
시교육감 행정권한의 위임에 관한 조례,
관장에게 위임할 사항을 규정하는 조례,
 소속 지방공무원 겸임수당 지급 조례,
그렇지요? 네. 그래서 제가 그 조례,
 사실 지방공무원 겸임수당 지급 조례,
"가능, 불가능을 떠나서 이 지급 조례",
대한 겸임수당을 주기 위해서 이 조례,
게 주기 위해서? 아닌가요? 그 조례,
", 협동조합형 공영형유치원 지원 조례",
고 있어요. 비용 지원 사업 및 조례,
