발언내용,2021일부,2021전체
"""바쁘신 의정활동에도 불구하고 서울교육 발전에 변함없는 관심과 지지를 보내주시는 최기찬 위원장님, 김용연 부위원장님, 전병주 부위원장님 그리고 교육위원회 위원님 여러분, 2020년 서울특별시의회 교육위원회 행정사무감사에서 우리 교육청의 주요업무를 보고드리고 위원장님을 비롯한 여러 위원님들의 고견을 듣게 된 것을 매우 뜻깊게 생각합니다. 이 자리를 빌려 감사의 말씀을 드립니다. 보고드리기에 앞서 우리 교육청 배석간부를 소개해 드리도록 하겠습니다. 김영철 부교육감입니다. 권성연 기획조정실장입니다. 강연흥 교육정책국장입니다. 백정흠 평생진로교육국장입니다. 손영순 교육행정국장입니다. 성현석 대변인입니다. 이민종 감사관입니다. 이길환 총무과장입니다. 한만중 정책ㆍ안전기획관입니다. 엄동환 예산담당관입니다. 김중락 행정관리담당관입니다. 강연실 참여협력담당관입니다. 허일만 노사협력담당관입니다. 앙영식 교육혁신과장입니다. 오필순 유아교육과장입니다. 최규애 초등교육과장입니다. 고효선 중등교육과장입니다. 김덕희 평생교육과장입니다. 윤여복 민주시민생활교육과장입니다. 이조복 진로직업교육과장입니다. 조용훈 체육건강문화예술과장입니다. 최성목 학교지원과장입니다. 김정애 교육재정과장입니다. 김재환 교육시설안전과장입니다. 이상으로 간부소개를 마치겠습니다. 올해는 제가 서울교육을 책임진 지 6년이 되는 해이고 제2기의 중반, 반환점을 돌아서는 시기입니다. 저는 그동안 가시적 성과뿐 아니라 눈에 보이지 않은 잠재적 변화가 누적되면서 우리 교육에 중요하고도 의미 있는 발자취를 남겨왔다고 생각합니다. 반환점을 돈 지금부터는 지난 6년 동안의 혁신교육에 대한 성과들을 가늠하고 서울교육의 비전과 방향을 재정비함으로써 미래교육을 향한 추동력을 끌어올리기 위해 최선의 노력을 다하고자 합니다. 지금 우리 교육은 미래를 위한 새로운 도약의 시기를 맞고 있습니다. 지금까지 한국의 교육은 “one size fits all” 즉 모든 학생을 똑같은 인재로 맞추려는 평균적이고 획일적인 표준화교육 시스템을 중심으로 운영되어 왔습니다. 이는 상위권 도약을 위한 경쟁 교육과 맞물리면서 효율성을 위해 학생 개개인을 위한 맞춤형 성장을 희생해 왔던 것이 사실입니다. 그러나 4차 산업혁명의 본격화, 기후위기의 가시화, 저출산으로 인한 학령인구 감소, 세계화에 따라 점증하는 다양한 갈등 양상은 국가사회적 측면의 변화뿐 아니라 교육의 영역에서도 전면적인 패러다임의 전환을 요구하고 있습니다. 지금까지의 사회경제적 시스템에 수동적으로 맞춰가던 교육의 역할을 넘어서서 선제적, 능동적으로 변화를 주도하는 교육으로의 전환인 것입니다. 이러한 상황에서 예기치 못하게 코로나 상황이 닥쳐왔고 이는 불가피하게 교육 영역의 전반적인 혁신과 변화를 앞당기는 계기가 되고 있습니다. 우리에게 코로나 위기가 도전이자 기회인 이유입니다. 이에 서울시교육청은 코로나 상황에 따른 원격수업의 내실화와 기후위기 시대를 선도하고자 9월 1일자로 소규모 조직개편을 발 빠르게 추진한 바 있습니다. 원격교육팀과 생태ㆍ환경ㆍ에너지교육팀을 신설하여 교수학습 방법 및 내용을 미래지향적 변화와 연계하여 지원하고 있습니다. 앞으로도 서울교육은 “백만 개의 교실, 하나의 공동체”로 응전하며 교육의 본질 구현과 미래교육 실현이라는 목표를 향해 묵묵히 나아가겠습니다. 백만 명 학생의 꿈이 살아 숨 쉬는 교실에서 ‘하나의 공동체’라는 소속감으로 연대하며 ‘오직 한 사람을 위한 교육’이 실현될 수 있도록 노력하고자 합니다. 그동안 현장에 천착하여 구현되어 온 혁신교육을 미래교육의 보편적 모델로 다듬어 나가고, 서울교육으로 예리하게 다듬어진 ‘K-교육’이 위기상황에서도 미래교육을 향한 세계적 표준으로 자리매김할 수 있도록 담대한 전진을 멈추지 않겠다는 말씀을 드리고자 합니다. 지금까지 여러 위원님들의 관심과 배려, 서울시민과 모든 교직원, 학부모, 학생들의 노력 덕분에 서울교육이 혁신에 혁신, 도약에 도약을 거듭하고 있습니다. 서울교육 공동체 구성원 모두에게 진심으로 감사의 말씀을 전하고자 합니다. 앞으로도 우리 서울교육은 이러한 노력을 굳건하게 지속하겠다는 말씀을 드리며 2020년 정책방향별 서울시교육청 주요업무를 보고드리도록 하겠습니다. 첫째, 미래를 준비하는 혁신교육입니다. 서울교육은 ‘혁신교육 2.0 시대’를 맞이하여 혁신학교의 양적확대를 넘어 질적 심화와 다양화를 통해 혁신교육을 일반화시키기 위해 노력하고 있습니다. 혁신학교는 2020년 3월 1일자로 226개 교가 운영되는 등 양적으로 크게 성장하였습니다. 이제 혁신학교는 학교자치 영역과 권한을 최대로 확대한 혁신자치학교, 혁신학교와 미래학교를 접목한 혁신미래학교, 지역의 특성을 반영하고 문화 다양성을 수용하는 마을결합혁신학교 및 세계시민혁신학교 등 교육활동의 특화와 확장을 통하여 질적으로 심화해 나가고 있습니다. 둘째, 모두의 가능성을 여는 책임교육입니다. 우리 교육청은 책임교육 실천과 교육의 공공성 강화를 최우선으로 지향해 왔지만, 코로나 바이러스는 약자와 취약계층을 더 아프게 건드리며 돌봄과 원격수업에서 사각지대를 드러내고 있습니다. 이에 서울시교육청은 교육 격차 해소를 위하여 기기 지원, 원격수업 튜터 두리샘 지원, 방학 중 집중교실, 사범대 일대일 학습서포터 운영 등 학습지원대상학생에 대한 맞춤형 지원을 다각적으로 펼치고 있습니다. 또한 학교현장에서는 여러 가지로 어려운 상황에서도 공립유치원 오후 에듀케어, 초등 긴급돌봄 확대 운영 등 취약계층 및 맞벌이 가정의 돌봄공백을 해소하고자 노력하고 있습니다. 특수교육대상 학생 및 학부모의 오랜 숙원이었던 강서구 서진학교가 3월에 개교하였고, 중랑구 동진학교 설립을 위한 첫 삽을 뜬 것도 올해 서울교육, 특별히 서울특수교육의 의미 있는 성과 중 하나라고 말씀드리고 싶습니다. 우리 교육청은 “서울교육의 품 안에 들어온 아이들은 한 명도 놓치지 않겠다.”는 의지를 되새기며 앞으로도 책임교육을 향한 지속적인 노력을 멈추지 않겠습니다. 셋째, 평화와 공존의 민주시민교육입니다. 이 영역은 코로나 시기, 그 중요성이 더욱 부각되는 분야이므로 심혈을 기울여 추진하고 있습니다. 우리 교육청은 성인지 감수성 제고를 통한 성평등 학교 문화를 조성하고 있는 한편 의견의 양극화, 혐오와 편견을 극복하고 다양성을 존중하는 평화교육, 세계시민교육, 다문화교육을 내실 있게 운영하기 위해 노력하고 있습니다. 또한 지구 공동체의 지속가능한 미래를 위해 우리 학생들이 인간 중심적 사고에서 벗어나 생태감수성을 가진 지구 생태시민으로 성장할 수 있도록 생태전환교육을 전면적으로 시행하고자 노력하고 있습니다. 넷째, 안전하고 쾌적한 교육환경 조성입니다. 그동안 서울시교육청은 현장의 코로나 방역활동을 지원하기 위하여 방역물품은 각급 학교에 380억 원, 방역인원은 유ㆍ초중고, 특수ㆍ각종 학교뿐만 아니라 학력인정학교, 외국인학교까지 2,219개 교를 지원하였고, 또한 학교 무선망 설치, 교원기자재 확충, 학생 스마트기기 지원 등 원격교육 인프라를 신속하게 구축하였습니다. 특히 학교가 코로나 상황에 유연하고 융통성 있게 대처할 수 있도록 목적성 경비를 방역 및 원격수업 기반 구축 예산으로 전환하여 신속하게 사용할 수 있도록 조치한 바 있습니다. 이는 예산 운용의 자율성을 부여한 것으로서 학교별로 여건에 맞게 코로나 상황을 극복하는 데 큰 도움이 되었다는 긍정적 평가를 받은 바 있습니다. 다섯째, 참여와 소통의 교육자치입니다. 서울시교육청에서는 25개 구청과 협업하여 학부모, 지역주민의 참여를 근간으로 자치구마다 다채로운 특성이 살아있는 서울형 혁신교육지구를 운영하며 초3 사회과 마을교과서 자치구별 제작, 보급, 이미 25개 자치구별로 25종의 초3 사회과 마을교과서가 만들어진 바 있습니다. 나아가 학교-마을 연계 더불어교육 프로그램 등을 운영하고 있습니다. 2019년 신설한 학교통합지원센터에서는 올해부터 학교폭력대책심의위원회를 운영하며 학교폭력사안의 공정한 심의와 학교업무 경감에 일조하고 있습니다. 학교 내, 학교 간 교원학습공동체 활성화, 토론이 있는 교직원회의를 통해 확립해 왔던 민주적 학교 문화와 교육자치의 현장 기반은, 코로나 상황에서 학교공동체의 의견을 수렴하고 집단지성을 발휘하여 방역과 학사에서 저마다의 학교 상황에 맞는 최선의 방법을 찾아왔다고 감히 말씀드리고 싶습니다. 수업혁신, 등교방식, 방역대책 등에서 아래로부터의 자율성과 역동성이 발현되고 있다고 봅니다. 서울시교육청도 이에 발맞추어 학교가 자발성을 바탕으로 교육 본연의 활동에 집중할 수 있도록 학교의 자율성을 확대하는 행정, 학교를 지원하는 행정, 학교의 부담을 더는 뺄셈 행정 등 세 가지 방향에서 지속적인 행정 혁신 노력을 이어가겠다는 말씀을 드리고자 합니다. 이외의 올해 서울교육 여러 정책들에 대한 세부내용은 배부해 드린 주요업무 보고 책자로 대신하도록 하겠습니다. 양해를 부탁드리고자 합니다. 서울교육의 동반자로 언제나 관심과 애정을 보내주시며 한결같이 든든하게 지원해 주시는 교육위원회 위원장님과 위원님 여러분, 위원님들께서 서울교육의 발전을 위하여 해 주시는 소중한 말씀을 잘 새겨서 서울교육정책이 더욱 내실 있게 추진될 수 있도록 최선의 노력을 다하고자 합니다. 저희가 지향하는 바와 현장 간에 언제나 갭이 있는 것도 사실입니다. 2021년에는 그 갭을 더욱더 줄일 수 있도록 노력하겠다는 말씀도 함께 드리고자 합니다. 어려운 시기 늘 건강하시길 소망합니다. 이상으로 2020년도 우리 교육청의 주요업무 보고를 마치겠습니다. 감사합니다.""",중립,긍정
이상입니다.,긍정,중립
이상입니다.,긍정,중립
"""시간이 다 소비됐어요. 한 1분만 더 주세요. 교육감님, 오늘 이 자리에 계시고 이석하면 이런 말씀을 못 드릴 것 같아서 제가 다시 한번 두 번째, 저희 지역 현안인데 우리 서울시에서 시행하는 SH에서 시공하고 있는 문화복지시설 어울림플라자 아시죠?""",부정,중립
"""네, 고맙습니다.""",중립,긍정
생태전환교육이 작년에 우리가 예산심의 하고 이럴 때 약간의 논란이 있었던 부분이기도 합니다. 과학교과에서 중심적으로 진행하는 생태전환교육. 이 생태전환교육이 제가 언뜻 듣기에는 이것이 또한 범교과 운영에 한 가지가 되지 않을까라는 생각이 들거든요. 지난 6월에 우리 교육감님께서 그때도 보도자료를 내신 바 있어요. 코로나 장기화 대비해서 정규교육과정 외 의무교육 면제에 대한 특별법을 제안하셨죠?,부정,중립
그런데 이게 제가 생각하기에 두 가지 문제점이 있는데요. 코로나 시기에만 범교과 과정의 문제를 해소한다고 해서 이 문제가 해결되는 것은 아니라는 생각이 들고요. 그리고 또 한 가지는 조금 아까 말씀드린 생태전환교육 이런 것들이 오히려 범교과 과정들을 교육감께서 부추기는 그런 요인이 되지 않을까라는 생각이 들어서 그 점에 대해서 질의하겠습니다. 답변해 주십시오.,부정,중립
이상입니다.,긍정,중립
"""그리고 유치원도 예를 들어서 비슷한 성격인데 이런 것도 관계를 정립을 해야 되지 않나 큰 틀에서 말씀해 주세요, 교육부와의 관계.""",긍정,중립
"""그래서 상대적으로 불이익을 받고, 예를 들어서 학교 학급운영비를 증액을 해 달라 여러 가지 요구사항이 있더라고요. 물론 공교육의 개념은 현실적으로 사립까지 포함되는 게 맞죠?""",부정,중립
