회수,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),예산,867
제277회[정례회] (2017.11.01 ~ 2017.12.20),감사,857
제277회[정례회] (2017.11.01 ~ 2017.12.20),말씀,819
제277회[정례회] (2017.11.01 ~ 2017.12.20),얘기,745
제277회[정례회] (2017.11.01 ~ 2017.12.20),학부모,385
제277회[정례회] (2017.11.01 ~ 2017.12.20),거기,356
제277회[정례회] (2017.11.01 ~ 2017.12.20),거지,351
제277회[정례회] (2017.11.01 ~ 2017.12.20),교사,338
제277회[정례회] (2017.11.01 ~ 2017.12.20),그다음,307
제277회[정례회] (2017.11.01 ~ 2017.12.20),어쨌든,267
제277회[정례회] (2017.11.01 ~ 2017.12.20),한번,266
제277회[정례회] (2017.11.01 ~ 2017.12.20),안전,245
제277회[정례회] (2017.11.01 ~ 2017.12.20),실장,245
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육부,244
제277회[정례회] (2017.11.01 ~ 2017.12.20),답변,219
제277회[정례회] (2017.11.01 ~ 2017.12.20),별로,209
제277회[정례회] (2017.11.01 ~ 2017.12.20),수고,196
제277회[정례회] (2017.11.01 ~ 2017.12.20),사무,194
제277회[정례회] (2017.11.01 ~ 2017.12.20),수가,180
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육지원청,172
제277회[정례회] (2017.11.01 ~ 2017.12.20),제대로,169
제277회[정례회] (2017.11.01 ~ 2017.12.20),그게,169
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등학교,168
제277회[정례회] (2017.11.01 ~ 2017.12.20),불구,166
제277회[정례회] (2017.11.01 ~ 2017.12.20),아마,161
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생,157
제277회[정례회] (2017.11.01 ~ 2017.12.20),급식,150
제277회[정례회] (2017.11.01 ~ 2017.12.20),부서,149
제277회[정례회] (2017.11.01 ~ 2017.12.20),그냥,130
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위,123
제277회[정례회] (2017.11.01 ~ 2017.12.20),고요,122
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육장,120
제277회[정례회] (2017.11.01 ~ 2017.12.20),방과후,119
제277회[정례회] (2017.11.01 ~ 2017.12.20),문제점,118
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육과정,117
제277회[정례회] (2017.11.01 ~ 2017.12.20),진흥,114
제277회[정례회] (2017.11.01 ~ 2017.12.20),이분,111
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육,110
제277회[정례회] (2017.11.01 ~ 2017.12.20),달라,108
제277회[정례회] (2017.11.01 ~ 2017.12.20),주시,105
제277회[정례회] (2017.11.01 ~ 2017.12.20),차이,104
제277회[정례회] (2017.11.01 ~ 2017.12.20),이기,104
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교폭력,102
제277회[정례회] (2017.11.01 ~ 2017.12.20),장인,101
제277회[정례회] (2017.11.01 ~ 2017.12.20),먼저,97
제277회[정례회] (2017.11.01 ~ 2017.12.20),지난번,96
제277회[정례회] (2017.11.01 ~ 2017.12.20),입찰,96
제277회[정례회] (2017.11.01 ~ 2017.12.20),소관,95
제277회[정례회] (2017.11.01 ~ 2017.12.20),활성화,95
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울특별시,94
제277회[정례회] (2017.11.01 ~ 2017.12.20),정말,94
제277회[정례회] (2017.11.01 ~ 2017.12.20),양천,93
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정,90
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자,89
제277회[정례회] (2017.11.01 ~ 2017.12.20),조례,88
제277회[정례회] (2017.11.01 ~ 2017.12.20),개교,83
제277회[정례회] (2017.11.01 ~ 2017.12.20),사립학교,82
제277회[정례회] (2017.11.01 ~ 2017.12.20),직접,81
제277회[정례회] (2017.11.01 ~ 2017.12.20),서로,81
제277회[정례회] (2017.11.01 ~ 2017.12.20),뭔가,80
제277회[정례회] (2017.11.01 ~ 2017.12.20),장님,79
제277회[정례회] (2017.11.01 ~ 2017.12.20),마찬가지,79
제277회[정례회] (2017.11.01 ~ 2017.12.20),정리,78
제277회[정례회] (2017.11.01 ~ 2017.12.20),금액,78
제277회[정례회] (2017.11.01 ~ 2017.12.20),인건비,78
제277회[정례회] (2017.11.01 ~ 2017.12.20),자치구,77
제277회[정례회] (2017.11.01 ~ 2017.12.20),용역,77
제277회[정례회] (2017.11.01 ~ 2017.12.20),전혀,76
제277회[정례회] (2017.11.01 ~ 2017.12.20),회계,76
제277회[정례회] (2017.11.01 ~ 2017.12.20),하여튼,75
제277회[정례회] (2017.11.01 ~ 2017.12.20),수의계약,75
제277회[정례회] (2017.11.01 ~ 2017.12.20),주로,74
제277회[정례회] (2017.11.01 ~ 2017.12.20),청렴,73
제277회[정례회] (2017.11.01 ~ 2017.12.20),실질,72
제277회[정례회] (2017.11.01 ~ 2017.12.20),보건,71
제277회[정례회] (2017.11.01 ~ 2017.12.20),법적,70
제277회[정례회] (2017.11.01 ~ 2017.12.20),자율,69
제277회[정례회] (2017.11.01 ~ 2017.12.20),형태,68
제277회[정례회] (2017.11.01 ~ 2017.12.20),나머지,67
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육,66
제277회[정례회] (2017.11.01 ~ 2017.12.20),보고서,65
