회의록구분,대수,회의구분,위원회,회수,피감사기관,회의일자,발언자,발언순번,발언내용,기관구분
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,위원장 장인홍,1,"의석을 정돈해 주시기 바랍니다. 존경하는 위원님 여러분, 안녕하십니까? 바쁘신 의정활동에 노고가 참으로 많습니다. 조희연 교육감을 비롯한 집행부 관계공무원 여러분께서도 행정사무감사 수감준비에 수고가 많으십니다. 이번 제284회 정례회 기간 중에는 오늘 감사를 실시하는 서울시교육청 본청 및 11개 교육지원청을 시작으로 11월 2일부터 15일까지 14일간 지난 1년간의 서울교육 전반에 대한 행정사무감사를 실시합니다. 또한 행정사무감사 이후에는 2018년도 예산안과 조례안 등 각종 안건을 심사할 예정입니다. 이번 행정사무감사는 효율적인 감사진행을 위해서 본청과 교육지원청 소속기관 등을 묶어서 기관별로 이틀씩 진행할 계획이므로 집행부에서는 위원님들의 자료요구 등이 있을 경우 바로 조치해서 감사 진행에 차질이 없도록 적극 협조해 주시기 바랍니다. 그러면 지방자치법 제41조와 같은 법 시행령 제39조부터 제50조까지 그리고 서울특별시 행정사무감사 및 조사에 관한 조례에 따라서 서울시교육청 및 11개 교육지원청에 대한 2018년도 서울특별시의회 교육위원회 행정사무감사 실시를 선언합니다. (의사봉 3타) 행정사무감사 시작에 앞서 위원장으로서 몇 가지 당부말씀 드리겠습니다. 오늘 실시하는 행정사무감사는 지난 1년간의 서울시 교육행정 전반에 대한 성과를 평가하고 차기년도 계획을 수립하기 위한 중요한 절차로서 잘한 것은 발전시키고 잘못된 점은 바로잡아서 미래지향적인 서울교육을 구현하기 위함입니다. 따라서 집행부 관계 공무원께서는 위원님들의 지적사항에 대해서 방어적인 자세로 대응하지 마시고 위원님들과 함께 서울교육을 한 단계 더 발전시킨다는 열린 마음으로 적극 임해 주시기를 당부드립니다. 아울러 한 가지 말씀 더 올리겠습니다. 지금 서울시교육청은 창의적 민주시민을 기르는 혁신미래교육이라는 비전 아래 우리 학생들이 대화와 토론을 통해서 나와 다른 남을 이해하고 창의적 발상으로 스스로 해결책을 모색하는 미래인재들이 되도록 힘을 쏟고 있습니다. 그러나 이런 노력이 풍성한 열매를 맺기 위해서는 무엇보다 먼저 서울시 교육행정 당국이 시민들로부터의 신뢰회복이 선행되어야 합니다. 그러나 최근 언론에 보도되는 일련의 사건들을 보면 교육행정에 대한 시민의 신뢰도가 떨어지고 우려 섞인 목소리가 커가고 있는 것이 사실입니다. 다양한 형태의 회계 비리가 아이들이 태어나 처음 접하는 교육현장에서 드러나고 있고 사회적 약자를 가족처럼 돌봐야 하는 특수학교에서는 사회복무요원과 교사들이 장애아동들을 폭행하는 일도 발생하고 있습니다. 또한 한 사립특성화고에서는 춤과 노래 등을 통해 꿈을 기르는 학생들이 교장의 사모임 등에 여러 차례 동원되는 어처구니없는 일까지 발생했습니다. 이는 천만시민 앞에 참으로 부끄럽고 유감스러운 일이 아닐 수 없습니다. 조희연 교육감을 비롯한 관계공무원 여러분께서는 사태의 심각성을 직시하시고 사후 땜질식 처방이 아닌 병든 시스템의 뿌리부터 바꾼다는 각오로 교육행정 개선에 더욱 노력해 주시기를 당부드립니다. 아울러 오늘 감사에 임하시는 위원님들께서는 천만시민을 대신하여 서울시 교육정책이 학생과 시민을 위해 제대로 추진되고 있는지 그리고 개선해야 할 사항은 무엇인지 그동안 고민해 오신 문제점들을 기탄없이 지적해 주실 것을 당부드립니다. 아무쪼록 이번 행정사무감사가 소기의 목적을 달성할 수 있도록 감사위원 여러분들과 관계 공무원 여러분들의 적극적인 협조를 바랍니다. 그러면 감사에 들어가도록 하겠습니다. 먼저 수감기관 선서가 있겠습니다. 지방자치법 제41조 및 같은 법 시행령 제43조와 서울특별시 행정사무감사 및 조사에 관한 조례 제9조의 규정에 따라 행정사무감사 시 서류제출을 요구받은 자가 정당한 사유 없이 서류를 정해진 기한까지 제출하지 아니하거나 출석요구를 받은 증인이 정당한 사유 없이 출석하지 아니하거나 선서 또는 증언을 거부할 때에는 300만 원 이상 500만 원 이하의 과태료를 부과할 수 있고 위증의 경우와 서면답변에 거짓이 있을 때에는 고발될 수 있음을 먼저 알려드립니다. 선서는 증인들을 대표해서 조희연 서울시교육감께서 발언대로 나오셔서 오른손을 들어 선서문을 낭독하시고 대상 공무원들은 기립하여 오른손을 들어 주시기 바랍니다. 선서가 끝나면 선서문에 서명 날인하여 위원장에게 직접 제출해 주시기 바랍니다. 그러면 조희연 서울시교육감 나오셔서 선서하여 주시기 바랍니다.",위원장
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,교육감 조희연,2,선서! 본인은 서울특별시의회가 지방자치법 제41조의 규정에 의하여 소관 업무에 대한 행정사무감사를 실시함에 있어서 성실하게 감사를 받을 것이며 양심에 따라 숨김과 보탬이 없이 사실 그대로 말하고 만일 진술이나 서면답변에 거짓이 있으면 위증의 벌을 받기로 맹세합니다. 2018년 11월 2일 서울시특별시교육청 교육감 조희연.,교육감
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,위원장 장인홍,3,"모두 자리에 앉아주시기 바랍니다. 그러면 오늘 감사 일정에 대해 안내해 드리겠습니다. 오전에는 조희연 교육감을 대상으로 서울시교육청 교육행정 전반에 대해서 질의답변시간을 갖고 오후에는 대변인, 감사관, 총무과, 기획조정실, 교육지원청 소관 사무에 대해서 행정사무감사를 실시하도록 하겠습니다. 조희연 교육감 및 오늘 수감대상 기관 이외의 공무원께서는 오후에 이석하셔도 되겠습니다. 그러면 조희연 교육감께서는 행정사무감사에 참여하는 간부를 소개한 다음 인사말씀을 해 주시기 바랍니다.",위원장
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,교육감 조희연,4,"언제나 서울교육에 따뜻한 관심과 적극적 지지를 아끼지 않는 장인홍 위원장님과 김경ㆍ황인구 부위원장님 그리고 교육위원회 위원님 여러분, 서울특별시교육감 조희연입니다. 2018년도 서울특별시의회 행정사무감사는 제2기 임기의 첫 행정사무감사입니다. 그래서인지 오늘은 그 의미가 더욱 새롭고 중요하게 다가옵니다. 이 자리를 빌려 평소 저희 서울교육 교육정책 분야에 많은 관심을 가지시고 성원을 보내주신 데 대하여 위원장님을 비롯한 여러 위원님들께 진심으로 감사의 말씀을 드립니다. 새롭게 2기를 시작하며 저를 비롯한 서울시교육청 모든 직원은 조용한 변화 일관된 혁신의 마음가짐으로 지난 4년간 추진해 온 여러 가지 정책의 교육적 성과를 바탕으로 혁신미래교육이 한걸음 더 나아갈 수 있도록 노력하겠습니다. 그리하여 미래의 주인공인 우리 학생들은 창의적 민주시민으로 성장할 수 있도록 하고 학생들의 배움과 삶의 터인 학교는 아침이 설레는 곳으로 거듭날 수 있도록 최선을 다해 지원하겠습니다. 그런 의미에서 오늘 이 자리에서 여러 위원님들께서 해 주신 말씀 하나하나는 서울교육이 한 걸음 더 나아가는 데 있어 소중한 밑거름이 될 것이라고 생각합니다. 귀한 말씀 깊이 새겨듣고 우리 학생들이 보다 나은 환경에서 보다 양질의 교육을 받을 수 있도록 최선을 다하겠습니다. 그러면 주요업무를 보고드리기에 앞서 우리 교육청의 간부를 소개해드리겠습니다. 김원찬 부교육감입니다. 권성연 기획조정실장입니다. 박건호 교육정책국장입니다. 박혜자 평생진로교육국장입니다. 장석윤 교육행정국장입니다. 김현철 대변인입니다. 이민종 감사관입니다. 이연주 총무과장입니다. 한민호 정책ㆍ안전기획관입니다. 황현택 예산담당관입니다. 임찬식 행정관리담당관입니다. 양희두 참여협력담당관입니다. 김양주 노사협력담당관입니다. 서경수 교육혁신과장입니다. 정혜손 유아교육과장입니다. 민계홍 초등교육과장입니다. 강연흥 중등교육과장입니다. 송재범 민주시민교육과장입니다. 임광빈 평생교육과장입니다. 정영철 학생생활교육과장입니다. 신승인 진로직업교육과장입니다. 박광훈 체육건강과장입니다. 한창화 학교지원과장입니다. 조성남 교육재정과장입니다. 한규하 교육시설안전과장입니다. 오동훈 교육정보화과장입니다. 이병호 교육공간기획추진단장입니다. 이어서 교육지원청의 교육장을 소개해 드리겠습니다. 윤석명 동부교육지원청 교육장입니다. 이용환 서부교육지원청 교육장입니다. 이일순 남부교육지원청 교육장입니다. 선종복 북부교육지원청 교육장입니다. 김병오 중부교육지원청 교육장입니다. 이재관 강동송파교육지원청 교육장입니다. 심금순 강서양천교육지원청 교육장입니다. 이윤복 강남서초교육지원청 교육장입니다. 민병관 동작관악교육지원청 교육장입니다. 윤오영 성동광진교육지원청 교육장입니다. 장석진 성북강북교육지원청 교육장입니다. 이상으로 간부소개를 마치겠습니다. 언제나 서울교육의 든든한 지원군이 되어 주시는 위원장님과 부위원장님 그리고 위원님 여러분, 지금 우리 교육은 고령화와 학령인구의 감소, 4차 산업혁명과 기술의 변화, 사회 양극화 등 다양한 사회문제에 직면하고 있습니다. 이는 하나같이 우리 사회가 함께 머리를 맞대고 풀어나가야 될 시급하고 중요한 문제입니다. 이에 우리 교육청은 이러한 다양한 사회적 문제에 능동적으로 대응하고 교육의 변화와 혁신에 대한 사회적 요구에도 적극적으로 대처해 나가겠습니다. 이를 위해 먼저 그동안 추진해 온 교육혁신의 다양한 노력들이 현장에 안착하여 우리 아이들이 미래사회 인재로 성장할 수 있도록 미래역량을 기르겠습니다. 그동안 서울시교육청은 우리 학생들의 미래역량 함양을 위하여 초등1, 2학년 안정과 성장 맞춤교육 과정과 더불어 참여와 협력 중심의 수업을 통해 비판적 분석적 사고력 및 창의력 신장에 매진하였습니다. 또한 중학교 서울형자유학기제를 확대 발전시켜 교육과정 운영을 학생 중심, 체험 중심으로 혁신하여 꾸준히 질문이 있는 교실, 행복한 수업에 힘써왔습니다. 2기에도 교육의 본질인 수업이 교실혁신, 학교혁신으로 이어질 수 있도록 학교 현장 지원에 더욱 노력을 기울이겠습니다. 교육과정 재구성, 학생 성장 중심의 과정평가, 교사의 수업 자율권 확대 등을 통해 수업이 단순한 지식의 습득을 넘어 지성ㆍ감성ㆍ인성을 기르는 협력적 배움의 장이 될 수 있도록 최선을 다하겠습니다. 아울러 배움이 느린 학생들도 함께 가기 위해 학교에 기초학력 다중지원팀이 구성될 수 있도록 지원하고 기초학력 책임지도제를 강화하겠습니다. 또한 서울학습도움센터를 통해 찾아가는 맞춤형 지원을 확대 강화하고 자치구 학습지원센터와도 연계하여 기초학력이 필요한 학생들을 위한 맞춤식 교육을 지원하겠습니다. 학생들의 미래역량 함양과 더불어 우리 사회의 어려운 해결과제인 대입체제와 학력ㆍ학벌주의 극복을 위해서도 꾸준히 노력하겠습니다. 1기의 고졸 성공시대와 일반고 전성시대 등을 이어 특성화고 청년들의 직업 교육 국제화를 위해 해외진로를 탐색하고 작년에 전국 최초로 도입한 개방-연합형 종합캠퍼스 교육과정을 활발히 운영하여 고교학점제 도입 기반을 공고히 마련하는 등 일반고가 고교 교육의 중심으로 우뚝 서도록 하겠습니다. 저는 평소 혁신과 미래의 가치는 한 명의 아이도 소외됨이 없어야 한다는 생각으로 정의로운 차등교육에 관심을 가져왔습니다. 자기 표현력에 어려움을 겪는 장애학생들의 인권증진을 위해 장애학생 학교폭력 온라인신고센터 운영, 다양한 문화에 대한 이해와 수용능력 향상을 위해 다문화학생 밀집지역에 거점형다문화교육지원센터 구축, 학업 중단 학생에 대한 체계적 지원의 발판이 되는 학교 밖 청소년 교육지원수당 지급 정책 등은 모두 정의로운 차등과 관련된 정책이라고 말씀드릴 수 있겠습니다. 특히 최근 발표한 학교 밖 청소년의 교육기본 수당 지급은 학교 밖 청소년들의 학업복귀를 도와 교육 불평등 해소를 촉진하고자 하는 바람으로 추진하게 된 정책입니다. 한편, 사회가 다변화, 복잡화되면서 학생들의 건강, 안전, 생명, 환경에 대한 불안감을 호소하며, 이에 대한 적극적 해결 방안을 요구하는 목소리가 날로 높아지고 있습니다. 이와 같은 시민 및 학부모의 높아진 안전 감수성에 부응하여 학생안전 지원체계도 더욱 공고히 해 나가겠습니다. 또한, 보편적 복지 실현, 학부모 부담 경감, 고교급식 품질향상 등을 위해 우선 내년에는 고3 학생을 대상으로 먼저 무상급식을 실시하고, 2021년까지는 서울의 모든 초·중·고교에 단계적으로 확대해 나가겠습니다. 더불어 우리 학생들의 일상생활의 원리로서 민주시민교육을 전체의 생활 영역으로 확대하여 공존과 상생의 세계시민적 역량과 학생의 자기결정권 등 자치역량을 키우도록 하겠습니다. 편안한 교복 선언이나 두발 자유화 공론화 또한 이와 같은 맥락으로 추진되었으며, 이러한 일련의 노력은 결국 참여와 소통의 민주적 시민성 함양으로 이어지게 되고, 이는 ‘다시 새롭게’, ‘더 새롭게’라는 서울시교육청의 2기 혁신미래교육으로 이어지게 될 것입니다. 이와 함께 서울의 대표 정책인 혁신교육지구도 2단계 발전모델을 향해 질적 도약을 준비하고 있습니다. 내년에는 민·관·학 교육 협치의 성공적 모델인 25개 모든 자치구가 서울형 혁신교육지구에 참여하여 특성이 살아 있는 마을교육공동체가 강화되도록 하겠습니다. 학교와 마을연계 교육활동 지원을 강화하여 마을과 함께하는 창의적인 교육과정이 만들어지고 이를 통해 마을이 하나의 학습공원이 될 수 있도록 하겠습니다. 이제 혁신교육지구는 전국적으로 확장되고 있습니다. 이러한 전국적 확산에 대응하여 이것을 선도했던 서울이 책임감을 가지고 서울혁신교육지구의 2단계 발전모델을 열도록 저희가 노력하도록 하겠습니다. 그리고 무엇보다 교육의 변화와 혁신의 중심인 단위학교의 학교자치 역량을 강화하기 위해 지속적 학교업무정상화 추진을 통한 학교업무부담 감축, 목적사업비 축소와 학교기본운영비 확대, 교육지원청을 학교통합지원센터로 전환하는 등 현장 중심의 학교 맞춤형 교육활동을 최우선으로 지원하는 다양한 정책을 펼쳐 나가겠습니다. 언제나 서울교육에 관심과 애정을 보내 주시는 위원장님과 위원님 여러분, 서울시 교육감으로서 새 임기의 막중한 책임을 시작하며 학생 개개인별 맞춤형 교육을 통해 새롭고 다양한 서울교육이 구현되도록 협력과 소통의 자세로 담대히 나아가도록 하겠습니다. 지금 서울교육청의 외벽에는 ‘다르면 다를수록 세상은 더욱 아름답다’고 하는 캐치프레이즈를 담은 플래카드가 걸려 있습니다. 저는 2기의 교육목표가 새로운 창의성 교육, 새로운 다양성 교육을 한 단계 진전시키는 것이라고 생각합니다. 이 새로운 다양성 교육과 새로운 창의성 교육을 새로운 책임교육, 즉, 평등교육의 기반 위에서 실현하도록 2기에 더욱 노력하겠다는 말씀을 드립니다. 이상으로 2018년도 우리 교육청의 주요 업무에 대한 보고를 마치겠습니다. ‘삶이란 나 아닌 누군가에게 기꺼이 연탄 한 장 되는 것’이라는 어느 시인의 시 한 구절처럼 오늘 여러 위원님들께서 해 주신 귀한 말씀을 잘 새겨 교육혁신의 불씨가 되어 현장을 따뜻하게 지원하는 훈훈한 교육감이 되도록 노력하겠습니다. 감사합니다.",교육감
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,위원장 장인홍,5,"조희연 교육감 수고하셨습니다. 이어서 교육감을 대상으로 질의답변 시간을 갖도록 하겠습니다. 효율적인 감사 진행을 위해서 위원님들께서는 서울시 교육행정의 정책적인 부분들 큰 틀에서 질의해 주시고, 실무적이고 구체적인 사항은 실·국별 행정사무감사 시에 질의해 주시기 바랍니다. 원활한 회의진행을 위해서 위원님별로 5분 이내에서 질의해 주시기 바랍니다. 그러면 질의에 앞서 오후에 진행될 행정사무감사에 필요한 자료를 추가로 요구하실 위원님 계시면 말씀해 주시기 바랍니다. 김수규 위원님.",위원장
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,김수규 위원,6,김수규 위원입니다. 사립학교의 교육용 기본재산 관리 부적정 사례에 대한 자료를 요청합니다.,위원
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,위원장 장인홍,7,또 자료를 요구하실 위원님 계십니까? 권순선 위원님.,위원장
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,권순선 위원,8,교육청이 조직진단을 하고 있는 줄 알고 있는데 상세히 나와 있는 업무분장 편람을 좀 주시기 바랍니다.,위원
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,위원장 장인홍,9,조상호 위원님.,위원장
서울특별시의회 회의록,10,행정사무감사,교육위원회,제284회[정례회] (2018.11.01 ~ 2018.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2018.11.02 금요일,조상호 위원,10,"조상호 위원입니다. 교육청 내에 노동조합이 있는데요 노동조합에서 노조 전임자 자료를 제가 받았는데 혹시 근로시간 면제를 하고 있는 게 있는지, 근로시간 면제시간 노조별로 산정한 기초를 주시기 바랍니다. 이상입니다.",위원
