회의록구분,대수,회의구분,위원회,회수,피감사기관,회의일자,발언자,발언순번,발언내용,기관구분
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,위원장 김생환,1,"의석을 정돈해 주시기 바랍니다. 존경하는 위원님 여러분, 지역구 활동과 의정활동에 노고가 많으십니다. 그리고 조희연 교육감을 비롯한 집행부 관계공무원 여러분, 행정사무감사 수감 준비에 수고가 많으십니다. 이번 제277회 정례회 기간 중에는 오늘 감사를 실시하는 서울시교육청과 11개 교육지원청을 시작으로 11월 2일부터 11월 15일까지 14일간 지난 1년간의 서울교육 전반에 대해 행정사무감사를 실시하고, 이후 2018년도 예산안과 조례안 등 각종 안건을 심사할 예정입니다. 특히 이번 행정사무감사도 작년과 동일하게 효율적인 감사 진행을 위하여 본청과 교육지원청, 소속기관 등을 묶어서 기관별로 이틀씩 감사를 진행할 계획이므로 집행부에서는 자료요구 등 위원님들의 요청사항이 바로 조치될 수 있도록 적극 협조하여 주시기 바랍니다. 그러면 지방자치법 제41조와 같은 법 시행령 제39조부터 제50조까지, 그리고 서울특별시 행정사무감사 및 조사에 관한 조례에 따라 서울시교육청 본청 및 11개 교육지원청에 대한 2017년도 서울특별시의회 교육위원회 행정사무감사 실시를 선언합니다. (의사봉 3타) 오늘 행정사무감사 실시와 관련하여 위원장으로서 몇 가지 당부말씀을 드리고자 합니다. 먼저 오늘 실시하는 행정사무감사는 지난 1년간 서울시 교육행정 전반에 관한 집행부의 공ㆍ과에 대한 평가 및 개선을 논하는 자리입니다. 따라서 집행부 관계공무원 여러분께서는 오늘 위원님들의 지적사항에 대하여 앞으로 개선하겠습니다라는 단순한 면피성 발언 대신 지적사항에 대해서는 심사숙고하여 답변해 주시고, 문제로 인식된 경우 언제까지 어떤 방식으로 개선하겠다는 분명한 입장표명이 있어야 할 것으로 생각됩니다. 아울러 한 말씀 더 드리겠습니다. 지난 수년간 우리 교육위원회에서 줄곧 고민해 왔던 누리과정 예산문제라든지 역사교과서 폐지 등의 문제들은 어느 정도 정상궤도를 되찾았다고 생각합니다. 그러나 장애학생들의 학습권 보장을 위한 특수학교 설립문제, 끊이지 않는 사학비리문제, 공교육 내실화와 사교육 운영 개선 등 서울교육에 여전히 많은 숙제가 남아 있습니다. 시 교육청은 모든 역량을 집중하여 이러한 문제들을 해결하는 데 더욱 노력해야 할 것입니다. 아울러 오늘 감사에 임하시는 위원님들께서는 그동안 고민해 오신 문제점들을 기탄없이 지적해 주시고 일천만 서울시민의 입장에서 행정사무감사에 적극 임해 주실 것을 부탁드립니다. 아무쪼록 오늘 실시하는 행정사무감사가 소기의 목적을 달성할 수 있도록 감사위원 여러분들과 관계공무원 여러분께서는 적극 협조하여 주시기 바랍니다. 그러면 행정사무감사에 들어가도록 하겠습니다. 먼저 수감기관 선서가 있겠습니다. 지방자치법 제41조 및 같은 법 시행령 제43조와 서울특별시 행정사무감사 및 조사에 관한 조례 제9조의 규정에 따라 행정사무감사 시 서류제출을 요구받은 자가 정당한 사유 없이 서류를 정해진 기한까지 제출하지 아니하거나 출석요구를 받은 증인이 정당한 사유 없이 출석하지 아니하거나 선서 또는 증언을 거부할 때는 300만 원 이상 500만 원 이하의 과태료를 부과할 수 있고 위증의 경우와 서면답변에 거짓이 있을 때에는 고발될 수 있음을 먼저 알려드립니다. 선서는 증인들을 대표해서 조희연 서울시교육감께서 발언대에 나오셔서 오른손을 들어 선서문을 낭독하시고 대상 공무원들은 기립하여 오른손을 들어주시기 바랍니다. 그리고 선서가 끝나면 선서문에 서명 날인하여 위원장에게 직접 제출하여 주시기 바랍니다. 그러면 조희연 서울시교육감 나오셔서 선서하여 주시기 바랍니다.",위원장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,교육감 조희연,2,"선서! 본인은 서울특별시의회가 지방자치법 제41조 규정에 의하여 소관 업무에 대한 행정사무감사를 실시함에 있어서 성실하게 감사를 받을 것이며, 양심에 따라 숨김과 보탬이 없이 사실 그대로 말하고 만일 진술이나 서면답변에 거짓이 있으면 위증의 벌을 받기로 맹세합니다. 2017년 11월 2일 서울특별시교육청 교육감 조희연.",교육감
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,위원장 김생환,3,"모두 자리에 앉아주시기 바랍니다. 그러면 오늘 감사일정에 대하여 안내해 드리겠습니다. 오전에는 조희연 교육감을 대상으로 서울시교육청 교육행정 전반에 대하여 질의답변 시간을 갖고 오후에는 대변인, 감사관, 총무과, 기획조정실, 교육지원청 소관 사무에 대한 행정사무감사를 계속하여 실시하도록 하겠습니다. 조희연 교육감 및 오늘 수감대상기관 이외의 공무원께서는 오후에 이석하셔도 되겠습니다. 그러면 조희연 교육감께서는 행정사무감사에 참여하는 간부들을 소개한 다음 인사말씀해 주시기 바랍니다.",위원장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,교육감 조희연,4,"간부소개 및 주요업무보고를 드리도록 하겠습니다. 존경하는 김생환 위원장님, 장인홍ㆍ송재형 부위원장님 그리고 교육위원회 위원님 여러분, 서울특별시교육감 조희연입니다. 2017년도 서울특별시의회 행정사무감사는 저의 임기 내 마지막 행정사무감사입니다. 그래서인지 오늘은 그 의미가 더욱 크고 무겁게 다가옵니다. 이 자리를 빌려 그동안 서울교육 발전을 위해 깊은 관심과 애정을 보여주시고 아낌없는 성원을 보내주신 여러 위원님들께 진심어린 감사의 말씀을 드립니다. 지금까지 ‘모두가 행복한 혁신미래교육’ 구현을 위해 추진해 온 우리 교육청의 주요업무를 보고드리고 여러 위원님께서 해 주시는 귀한 말씀은 잘 새겨 남은 임기 동안 더욱 분발해서 서울교육의 새로운 토대를 굳건히 하겠습니다. 그러면 주요업무를 보고드리기에 앞서 우리 교육청의 간부를 소개해 드리겠습니다. 정병익 기획조정실장입니다. 윤오영 교육정책국장입니다. 박혜자 평생진로교육국장입니다. 백종대 교육행정국장입니다. 이상수 대변인입니다. 이민종 감사관입니다. 손영순 총무과장입니다. 이강태 정책ㆍ안전기획관입니다. 황현택 예산담당관입니다. 정재헌 행정관리담당관입니다. 양희두 참여협력담당관입니다. 김양주 노사협력담당관입니다. 전병화 교육혁신과장입니다. 정혜손 유아교육과장입니다. 이재관 초등교육과장입니다. 최광락 중등교육과장입니다. 임세훈 민주시민교육과장입니다. 진영학 평생교육과장입니다. 조영상 학생생활교육과장입니다. 홍민표 진로직업교육과장입니다. 안재홍 체육건강과장입니다. 신재웅 학교지원과장입니다. 이길환 교육재정과장입니다. 최영식 교육시설안전과장입니다. 이숙자 교육정보화과장입니다. 이어서 교육지원청의 교육장을 소개해 드리겠습니다. 윤석명 동부교육지원청 교육장입니다. 이용환 서부교육지원청 교육장입니다. 김용수 남부교육지원청 교육장입니다. 정인순 북부교육지원청 교육장입니다. 전종보 중부교육지원청 교육장입니다. 김병혁 강동송파교육지원청 교육장입니다. 김광선 강서양천교육지원청 교육장입니다. 한상윤 강남서초교육지원청 교육장입니다. 김성수 동작관악교육지원청 교육장입니다. 김수득 성동광진교육지원청 교육장입니다. 안성철 성북강북교육지원청 교육장입니다. 이상으로 간부소개를 마치겠습니다. 존경하는 위원님 여러분, 지금 우리 교육은 세 가지 중요한 과제 앞에 서 있습니다. 양극화 문제, 4차 산업혁명과 기술의 변화, 고령화와 학령인구의 감소, 우리가 당면한 사회적 문제는 하나같이 시급하고 출구 찾기가 간단치 않은 문제들입니다. 이렇듯 대내외적으로 다양한 도전과 혁신 요구에 직면한 상황에 보다 능동적이고 선제적으로 대응하기 위해 서울교육은 혁신 2기에서 혁신 3기로 이행 중입니다. 혁신교육을 복원하고 확대한 혁신 2기를 넘어 혁신 3기는 더불어숲 교육을 기치로 도전에 응전하면서 서울혁신미래교육의 새로운 비상을 준비하고자 합니다. 지난 2월에 국가 차원의 교육개혁의제를 발굴 정리하여 12대 국가교육개혁의제를 제시하고 6월에 새 정부 교육정책에 대한 서울시교육청의 제안을 발표한 것도 이러한 노력의 일환이라고 말씀드릴 수 있겠습니다. 문명사적 전환기에 교육이 오히려 지체현상을 초래하고 무모하리만치 경쟁적인 지금의 패러다임에서 하루빨리 벗어나지 않으면 우리나라의 미래는 기대하기 어렵다는 것이 각계의 중론입니다. 앞으로 정부 차원에서 대학체제와 입시제도를 개혁하고 고교체제 또한 수평적 다양화 방향으로 정비하게 된다면 입시경쟁의 틀을 벗어나기 힘든 현재의 초ㆍ중등교육이 교육 본연의 기능에 보다 충실한 쪽으로 획기적인 전환이 이루어질 것입니다. 우리 교육청은 정부와 발맞추어 우리나라의 교육 패러다임 전환을 위한 길에 굳건한 책무성을 가지고 공동의 노력을 기울여 나가겠습니다. 2017년은 그동안 추진해 온 교육혁신의 다양한 노력들이 현장에 안착하여 우리 아이들이 미래사회의 인재로 성장할 수 있도록 미래역량을 키우는 데 집중하였습니다. 이를 위해 2017년을 학교자율운영체제 구축의 원년으로 천명하고 학교와 교사의 자발성을 이끌어내기 위해 학교업무 정상화로 학교업무부담 감축, 공모사업 학교선택제 확대, 교원학습공동체 활성화, 학생 자치와 학부모 참여 활성화 등 현장 중심의 학교 맞춤형 교육활동을 최우선으로 지원하는 다양한 정책을 펼쳐왔습니다. 현장과의 소통 강화를 위해 매주 목요일 서울교육을 만나서 만들어 가는 목요만만토론 형식으로 학교를 방문하여 학생, 교사, 학부모님을 만나 이야기를 듣다 보면 학교문화가 조금씩 변화되어 가고 있음을 느끼게 됩니다. 유아교육의 공공성 강화를 위한 공립유치원 신ㆍ증설 및 전국 최초의 공영형 유치원 선정과 운영, 초등학교 1, 2학년 어린 학생들을 위한 놀이 중심의 기초교육 강화 프로그램인 안정과 성장 맞춤 교육과정, 교육과정 운영을 학생 중심, 체험 중심으로 바꾼 중학교 서울형 자유학기제와 모든 학생들이 함께 창의적으로 만들어가는 협력종합예술 등 이 모든 것이 교육 혁신을 이루기 위한 구체적이고 실제적인 노력들이었습니다. 그리고 우리 사회의 어려운 해결과제인 대입체제와 학벌ㆍ학력주의를 극복하기 위한 일련의 정책으로 일반고 전성시대와 고졸 성공시대를 지속 추진해 왔습니다. 일반고 전성시대 정책과 관련한 서울교육종단연구에 따르면 학생들의 교육활동 다양성이 넓어지고 체험형ㆍ참여형 프로그램과 수업 운영으로 학생들의 자아존중감이 상승하였으며 진로성숙도가 큰 폭으로 증가함은 물론 학교 만족도가 눈에 띄게 증가하고 있습니다. 또한 전국 최초로 도입한 개방-연합형 종합캠퍼스 교육과정은 정부에서 추진하고자 하는 고교학점제의 선도적인 모델이라고 할 것입니다. 이밖에도 학생들의 세계시민적 역량과 자치역량을 키우기 위한 노력에도 심혈을 기울였습니다. 이 모든 것이 기존의 성적 중심의 학력을 뛰어넘는 이른바 미래학력과 더불어 협력과 배려의 정신을 기본으로 하는 미래인성의 함양을 위한 노력이라고 하겠습니다. 생활교육으로 학교폭력 예방과 해결을 위한 평화로운 학교 만들기 정책도 그런 노력의 일환이라고 할 수 있습니다. 아울러 날로 심각해지고 있는 교권의 불안정성을 해소하기 위한 지원 정책을 확대하고 있으며 이와 더불어 학생 인권의 조화를 통한 학교의 민주적 공동체로의 복원을 위한 사업들도 꾸준히 추진하고 있습니다. 사회가 다변화, 복잡화되면서 학생들의 건강, 안전, 생명, 환경에 대한 불안감 해소의 목소리가 날로 높아지고 있습니다. 올해 초 미세먼지와 관련한 대책을 선도적으로 마련한 것도 그런 배경입니다. 학생안전 지원체계도 구축해 가고 있습니다. 향후에는 생명에 대한 교육도 강화해 나갈 예정입니다. 또한 서울의 대표적인 정책인 혁신교육지구도 내실을 다져가고 있는 중입니다. 지방자치와 교육자치, 민ㆍ관이 협력하는 교육협치의 성공적 모델인 서울형 혁신교육지구가 서울의 22개 자치구에서 활발하게 운영되고 있습니다. 이 사업을 통하여 모든 학생들에게 학습과 성장의 기회가 고루 제공되는 한편 학부모의 교육적 관심과 참여가 활성화되고 마을-학교 간 교육공동체의 연대는 단단해지고 있습니다. 혁신과 미래의 가치는 한 명의 아이도 소외되지 않는 평등교육 실현의 목표와 함께 가야 합니다. 기초학력 강화, 교사와 학생들의 멘토 프로그램인 희망교실, 맞춤형 교육복지, 학교평등예산제 등도 소홀히 하지 않는 이유입니다. 특히 최근 국민적 지지와 성원을 많이 받고 있는 특수학교 설립 등 보다 어려운 여건의 학생들을 위한 교육 기본권적 노력을 더욱 경주해 나갈 계획입니다. 우리 사회의 통합적 가치를 교육에서부터 먼저 구현해 나가겠다는 각오로 임하고 있다는 말씀을 드리고 싶습니다. 이상으로 2017년도 우리 교육청의 주요업무에 대한 보고를 마치겠습니다. 오늘 여러 위원님께서 해 주시는 귀한 말씀을 잘 새겨서 서울교육이 더욱 내실 있게 추진될 수 있도록 최선을 다하겠다는 말씀을 드리고자 합니다. 감사합니다.",교육감
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,위원장 김생환,5,"조희연 교육감 수고하셨습니다. 이어서 교육감을 대상으로 질의답변 시간을 갖도록 하겠습니다. 효율적인 감사 진행을 위하여 위원님들께서는 서울시 교육행정의 정책적인 부분 등 큰 틀에서 질의하여 주시고, 실무적이고 구체적인 사항은 실ㆍ국별 행정사무감사 시에 질의하여 주시되 원활한 회의진행을 위하여 위원님별로 10분 이내에서 질의해 주시기 바랍니다. 그러면 질의 순서는 간담회에서 결정한 대로 김진수 부의장님부터 하도록 하겠습니다. 김진수 부의장님 질의하여 주시기 바랍니다.",위원장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,송재형 위원,6,"잠깐만 자료요구, 교육감님이 업무보고를 한 것 중에 딱 한 내용 있으니까…….",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,위원장 김생환,7,"네, 자료요구 해 주시기 바랍니다.",위원장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,송재형 위원,8,"자료요구 하나 하겠습니다. 제가 처음 보는 내용인데 개방-연합형 종합캠퍼스 교육과정을 최초로 운영한다고 했는데 우리 위원이 잘 모르고 있는 내용이거든요. 그래서 이것 개념, 방법, 계획안 이런 게 있으면 하나 주시면 좋겠습니다.",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,교육감 조희연,9,바로 준비하도록 하겠습니다.,교육감
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청(1)",2017.11.02 목요일,송재형 위원,10,고맙습니다. 이상입니다.,위원
