회의록구분,대수,회의구분,위원회,회수,피감사기관,회의일자,발언자,발언순번,발언내용,기관구분
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,위원장 최기찬,1,"의석을 정돈해 주시기 바랍니다. 존경하는 위원님 여러분, 안녕하십니까? 바쁘신 의정활동에 노고가 많으십니다. 조희연 교육감을 비롯한 집행부 관계공무원 여러분들께서도 행정사무감사 수감 준비에 수고가 많으십니다. 이번 제298회 정례회 기간 중에는 오늘 감사를 실시하는 서울시교육청 본청 및 11개 교육지원청, 교육연구정보원을 시작으로 11월 3일부터 11월 13일까지 11일간 지난 1년간의 서울교육 전반에 대한 행정사무감사를 실시합니다. 또한 행정사무감사 이후에는 2021년도 예산안과 조례안 등 각종 안건을 심사할 예정입니다. 이번 행정사무감사는 효율적인 감사진행을 위하여 본청과 교육지원청, 소속기관 등을 묶어서 기관별로 이틀씩 진행할 계획이므로 집행부에서는 위원님들의 자료요구 등이 있을 경우 바로 조치하여 감사진행에 차질이 없도록 적극 협조해 주시기 바랍니다. 그러면 지방자치법 제41조와 같은 법 시행령 제39조부터 제50조까지 그리고 서울특별시의회 행정사무감사 및 조사에 관한 조례에 따라 서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청 및 교육연구정보원에 대한 2020년도 서울특별시의회 교육위원회 행정사무감사 실시를 선언합니다. (의사봉 3타) 행정사무감사 시작에 앞서 위원장으로서 몇 가지 당부의 말씀을 드리고자 합니다. 오늘 실시하는 행정사무감사는 지난 1년간의 서울시 교육행정 전반에 대한 성과를 평가하고 차년도 계획을 수립하기 위한 중요한 절차로서 잘한 것은 발전시키고 잘못된 점은 바로잡아 미래 지향적인 서울교육을 구현하기 위함입니다. 따라서 집행부 관계공무원께서는 위원님들의 지적사항에 대하여 방어적인 자세로 대응하지 마시고 위원님들과 함께 서울교육을 한 단계 더 발전시킨다는 열린 마음으로 적극 임해 주실 것을 당부드립니다. 아무쪼록 이번 행정사무감사가 소기의 목적을 달성할 수 있도록 감사위원 여러분들과 관계공무원 여러분의 적극적인 협조를 부탁드립니다. 그러면 감사에 들어가도록 하겠습니다. 먼저 수감기관 선서가 있겠습니다. 지방자치법 제41조 및 같은 법 시행령 제43조와 서울특별시의회 행정사무감사 및 조사에 관한 조례 제9조 규정에 따라 행정사무감사 시 서류제출을 요구받은 자가 정당한 사유 없이 서류를 정해진 기한까지 제출하지 아니하거나 출석요구를 받은 증인이 정당한 사유 없이 출석하지 아니하거나 선서 또는 증언을 거부할 때는 300만 원 이상 500만 원 이하의 과태료를 부과할 수 있고, 위증의 경우와 서면답변에 거짓이 있을 때는 고발될 수 있음을 먼저 알려드리고자 합니다. 선서는 증인들을 대표해서 조희연 서울시교육감께서 발언대에 나오셔서 오른손을 들어 선서문을 낭독하시고 대상 공무원들은 기립하여 오른손을 들어주시기 바랍니다. 선서가 끝나면 선서문에 서명날인하여 위원장에게 직접 제출해 주시기 바랍니다. 그러면 조희연 서울시교육감 나오셔서 선서하여 주시기 바랍니다. 모두 자리에서 일어나 주시기 바랍니다.",위원장
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,교육감 조희연,2,선서! 본인은 서울특별시의회가 지방자치법 제41조의 규정에 의하여 소관 업무에 대한 행정사무감사를 실시함에 있어서 성실하게 감사를 받을 것이며 양심에 따라 숨김과 보탬이 없이 사실 그대로 말하고 만일 거짓이 있으면 위증의 벌을 받기로 맹세합니다. 2020년 11월 3일 서울특별시교육청 교육감 조희연.,교육감
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,위원장 최기찬,3,"모두 자리에 앉아 주시기 바랍니다. 그러면 오늘 감사일정에 대해서 안내드리겠습니다. 오전에는 조희연 교육감님을 대상으로 서울시교육청 교육행정 전반에 대하여 질의답변시간을 갖고 오후에는 대변인, 감사관, 총무과, 기획조정실, 교육지원청, 교육연구정보원 소관 사무에 대하여 행정사무감사를 실시하도록 하겠습니다. 조희연 교육감님 및 오늘 수감대상 기관 이외의 공무원께서는 오후에 이석하셔도 되겠습니다. 그러면 조희연 교육감께서 행정사무감사에 참여하는 간부를 소개한 다음 인사말씀 해 주시기 바랍니다.",위원장
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,교육감 조희연,4,"바쁘신 의정활동에도 불구하고 서울교육 발전에 변함없는 관심과 지지를 보내주시는 최기찬 위원장님, 김용연 부위원장님, 전병주 부위원장님 그리고 교육위원회 위원님 여러분, 2020년 서울특별시의회 교육위원회 행정사무감사에서 우리 교육청의 주요업무를 보고드리고 위원장님을 비롯한 여러 위원님들의 고견을 듣게 된 것을 매우 뜻깊게 생각합니다. 이 자리를 빌려 감사의 말씀을 드립니다. 보고드리기에 앞서 우리 교육청 배석간부를 소개해 드리도록 하겠습니다. 김영철 부교육감입니다. 권성연 기획조정실장입니다. 강연흥 교육정책국장입니다. 백정흠 평생진로교육국장입니다. 손영순 교육행정국장입니다. 성현석 대변인입니다. 이민종 감사관입니다. 이길환 총무과장입니다. 한만중 정책ㆍ안전기획관입니다. 엄동환 예산담당관입니다. 김중락 행정관리담당관입니다. 강연실 참여협력담당관입니다. 허일만 노사협력담당관입니다. 앙영식 교육혁신과장입니다. 오필순 유아교육과장입니다. 최규애 초등교육과장입니다. 고효선 중등교육과장입니다. 김덕희 평생교육과장입니다. 윤여복 민주시민생활교육과장입니다. 이조복 진로직업교육과장입니다. 조용훈 체육건강문화예술과장입니다. 최성목 학교지원과장입니다. 김정애 교육재정과장입니다. 김재환 교육시설안전과장입니다. 이상으로 간부소개를 마치겠습니다. 올해는 제가 서울교육을 책임진 지 6년이 되는 해이고 제2기의 중반, 반환점을 돌아서는 시기입니다. 저는 그동안 가시적 성과뿐 아니라 눈에 보이지 않은 잠재적 변화가 누적되면서 우리 교육에 중요하고도 의미 있는 발자취를 남겨왔다고 생각합니다. 반환점을 돈 지금부터는 지난 6년 동안의 혁신교육에 대한 성과들을 가늠하고 서울교육의 비전과 방향을 재정비함으로써 미래교육을 향한 추동력을 끌어올리기 위해 최선의 노력을 다하고자 합니다. 지금 우리 교육은 미래를 위한 새로운 도약의 시기를 맞고 있습니다. 지금까지 한국의 교육은 “one size fits all” 즉 모든 학생을 똑같은 인재로 맞추려는 평균적이고 획일적인 표준화교육 시스템을 중심으로 운영되어 왔습니다. 이는 상위권 도약을 위한 경쟁 교육과 맞물리면서 효율성을 위해 학생 개개인을 위한 맞춤형 성장을 희생해 왔던 것이 사실입니다. 그러나 4차 산업혁명의 본격화, 기후위기의 가시화, 저출산으로 인한 학령인구 감소, 세계화에 따라 점증하는 다양한 갈등 양상은 국가사회적 측면의 변화뿐 아니라 교육의 영역에서도 전면적인 패러다임의 전환을 요구하고 있습니다. 지금까지의 사회경제적 시스템에 수동적으로 맞춰가던 교육의 역할을 넘어서서 선제적, 능동적으로 변화를 주도하는 교육으로의 전환인 것입니다. 이러한 상황에서 예기치 못하게 코로나 상황이 닥쳐왔고 이는 불가피하게 교육 영역의 전반적인 혁신과 변화를 앞당기는 계기가 되고 있습니다. 우리에게 코로나 위기가 도전이자 기회인 이유입니다. 이에 서울시교육청은 코로나 상황에 따른 원격수업의 내실화와 기후위기 시대를 선도하고자 9월 1일자로 소규모 조직개편을 발 빠르게 추진한 바 있습니다. 원격교육팀과 생태ㆍ환경ㆍ에너지교육팀을 신설하여 교수학습 방법 및 내용을 미래지향적 변화와 연계하여 지원하고 있습니다. 앞으로도 서울교육은 “백만 개의 교실, 하나의 공동체”로 응전하며 교육의 본질 구현과 미래교육 실현이라는 목표를 향해 묵묵히 나아가겠습니다. 백만 명 학생의 꿈이 살아 숨 쉬는 교실에서 ‘하나의 공동체’라는 소속감으로 연대하며 ‘오직 한 사람을 위한 교육’이 실현될 수 있도록 노력하고자 합니다. 그동안 현장에 천착하여 구현되어 온 혁신교육을 미래교육의 보편적 모델로 다듬어 나가고, 서울교육으로 예리하게 다듬어진 ‘K-교육’이 위기상황에서도 미래교육을 향한 세계적 표준으로 자리매김할 수 있도록 담대한 전진을 멈추지 않겠다는 말씀을 드리고자 합니다. 지금까지 여러 위원님들의 관심과 배려, 서울시민과 모든 교직원, 학부모, 학생들의 노력 덕분에 서울교육이 혁신에 혁신, 도약에 도약을 거듭하고 있습니다. 서울교육 공동체 구성원 모두에게 진심으로 감사의 말씀을 전하고자 합니다. 앞으로도 우리 서울교육은 이러한 노력을 굳건하게 지속하겠다는 말씀을 드리며 2020년 정책방향별 서울시교육청 주요업무를 보고드리도록 하겠습니다. 첫째, 미래를 준비하는 혁신교육입니다. 서울교육은 ‘혁신교육 2.0 시대’를 맞이하여 혁신학교의 양적확대를 넘어 질적 심화와 다양화를 통해 혁신교육을 일반화시키기 위해 노력하고 있습니다. 혁신학교는 2020년 3월 1일자로 226개 교가 운영되는 등 양적으로 크게 성장하였습니다. 이제 혁신학교는 학교자치 영역과 권한을 최대로 확대한 혁신자치학교, 혁신학교와 미래학교를 접목한 혁신미래학교, 지역의 특성을 반영하고 문화 다양성을 수용하는 마을결합혁신학교 및 세계시민혁신학교 등 교육활동의 특화와 확장을 통하여 질적으로 심화해 나가고 있습니다. 둘째, 모두의 가능성을 여는 책임교육입니다. 우리 교육청은 책임교육 실천과 교육의 공공성 강화를 최우선으로 지향해 왔지만, 코로나 바이러스는 약자와 취약계층을 더 아프게 건드리며 돌봄과 원격수업에서 사각지대를 드러내고 있습니다. 이에 서울시교육청은 교육 격차 해소를 위하여 기기 지원, 원격수업 튜터 두리샘 지원, 방학 중 집중교실, 사범대 일대일 학습서포터 운영 등 학습지원대상학생에 대한 맞춤형 지원을 다각적으로 펼치고 있습니다. 또한 학교현장에서는 여러 가지로 어려운 상황에서도 공립유치원 오후 에듀케어, 초등 긴급돌봄 확대 운영 등 취약계층 및 맞벌이 가정의 돌봄공백을 해소하고자 노력하고 있습니다. 특수교육대상 학생 및 학부모의 오랜 숙원이었던 강서구 서진학교가 3월에 개교하였고, 중랑구 동진학교 설립을 위한 첫 삽을 뜬 것도 올해 서울교육, 특별히 서울특수교육의 의미 있는 성과 중 하나라고 말씀드리고 싶습니다. 우리 교육청은 “서울교육의 품 안에 들어온 아이들은 한 명도 놓치지 않겠다.”는 의지를 되새기며 앞으로도 책임교육을 향한 지속적인 노력을 멈추지 않겠습니다. 셋째, 평화와 공존의 민주시민교육입니다. 이 영역은 코로나 시기, 그 중요성이 더욱 부각되는 분야이므로 심혈을 기울여 추진하고 있습니다. 우리 교육청은 성인지 감수성 제고를 통한 성평등 학교 문화를 조성하고 있는 한편 의견의 양극화, 혐오와 편견을 극복하고 다양성을 존중하는 평화교육, 세계시민교육, 다문화교육을 내실 있게 운영하기 위해 노력하고 있습니다. 또한 지구 공동체의 지속가능한 미래를 위해 우리 학생들이 인간 중심적 사고에서 벗어나 생태감수성을 가진 지구 생태시민으로 성장할 수 있도록 생태전환교육을 전면적으로 시행하고자 노력하고 있습니다. 넷째, 안전하고 쾌적한 교육환경 조성입니다. 그동안 서울시교육청은 현장의 코로나 방역활동을 지원하기 위하여 방역물품은 각급 학교에 380억 원, 방역인원은 유ㆍ초중고, 특수ㆍ각종 학교뿐만 아니라 학력인정학교, 외국인학교까지 2,219개 교를 지원하였고, 또한 학교 무선망 설치, 교원기자재 확충, 학생 스마트기기 지원 등 원격교육 인프라를 신속하게 구축하였습니다. 특히 학교가 코로나 상황에 유연하고 융통성 있게 대처할 수 있도록 목적성 경비를 방역 및 원격수업 기반 구축 예산으로 전환하여 신속하게 사용할 수 있도록 조치한 바 있습니다. 이는 예산 운용의 자율성을 부여한 것으로서 학교별로 여건에 맞게 코로나 상황을 극복하는 데 큰 도움이 되었다는 긍정적 평가를 받은 바 있습니다. 다섯째, 참여와 소통의 교육자치입니다. 서울시교육청에서는 25개 구청과 협업하여 학부모, 지역주민의 참여를 근간으로 자치구마다 다채로운 특성이 살아있는 서울형 혁신교육지구를 운영하며 초3 사회과 마을교과서 자치구별 제작, 보급, 이미 25개 자치구별로 25종의 초3 사회과 마을교과서가 만들어진 바 있습니다. 나아가 학교-마을 연계 더불어교육 프로그램 등을 운영하고 있습니다. 2019년 신설한 학교통합지원센터에서는 올해부터 학교폭력대책심의위원회를 운영하며 학교폭력사안의 공정한 심의와 학교업무 경감에 일조하고 있습니다. 학교 내, 학교 간 교원학습공동체 활성화, 토론이 있는 교직원회의를 통해 확립해 왔던 민주적 학교 문화와 교육자치의 현장 기반은, 코로나 상황에서 학교공동체의 의견을 수렴하고 집단지성을 발휘하여 방역과 학사에서 저마다의 학교 상황에 맞는 최선의 방법을 찾아왔다고 감히 말씀드리고 싶습니다. 수업혁신, 등교방식, 방역대책 등에서 아래로부터의 자율성과 역동성이 발현되고 있다고 봅니다. 서울시교육청도 이에 발맞추어 학교가 자발성을 바탕으로 교육 본연의 활동에 집중할 수 있도록 학교의 자율성을 확대하는 행정, 학교를 지원하는 행정, 학교의 부담을 더는 뺄셈 행정 등 세 가지 방향에서 지속적인 행정 혁신 노력을 이어가겠다는 말씀을 드리고자 합니다. 이외의 올해 서울교육 여러 정책들에 대한 세부내용은 배부해 드린 주요업무 보고 책자로 대신하도록 하겠습니다. 양해를 부탁드리고자 합니다. 서울교육의 동반자로 언제나 관심과 애정을 보내주시며 한결같이 든든하게 지원해 주시는 교육위원회 위원장님과 위원님 여러분, 위원님들께서 서울교육의 발전을 위하여 해 주시는 소중한 말씀을 잘 새겨서 서울교육정책이 더욱 내실 있게 추진될 수 있도록 최선의 노력을 다하고자 합니다. 저희가 지향하는 바와 현장 간에 언제나 갭이 있는 것도 사실입니다. 2021년에는 그 갭을 더욱더 줄일 수 있도록 노력하겠다는 말씀도 함께 드리고자 합니다. 어려운 시기 늘 건강하시길 소망합니다. 이상으로 2020년도 우리 교육청의 주요업무 보고를 마치겠습니다. 감사합니다.",교육감
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,위원장 최기찬,5,조희연 교육감 수고하셨습니다. 이어서 교육감을 대상으로 질의답변 시간을 갖도록 하겠습니다. 효율적인 감사진행을 위하여 위원님들께서는 서울시 교육행정의 정책적인 부분 등 큰 틀에서 질의하여 주시고 실무적이고 구체적인 사항은 실국별 행정사무감사 시에 질의하여 주시기 바랍니다. 원활한 회의진행을 위하여 위원별로 5분 이내로 질의해 주시기 바랍니다. 질의에 앞서 행정사무감사에 필요한 자료를 요구하실 위원님이 계시면 지금 말씀하여 주시기 바랍니다. 권순선 위원님.,위원장
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,권순선 위원,6,"자료요청하겠습니다. 지금 저희 급식과 관련해서 지난 5년간 급식 관련한 전체 입찰업체들 있죠, 낙찰된 업체들 현황을 주시고요. 그다음에 서울진흥공사인가 그 공사를 활용하지 않고, 아, 우리 9개 그쪽을 활용하지 않고 자치구별로 따로 하는 자치구가 5개인가 있죠. 그 자치구들의 업체라고 해야 될까요, 지난 5년간 공급업체들 현황을 주셨으면 합니다.",위원
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,교육감 조희연,7,네.,교육감
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,권순선 위원,8,이상입니다.,위원
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,위원장 최기찬,9,다음 자료요구하실 위원님 계신가요? 이호대 위원님.,위원장
서울특별시의회 회의록,10,행정사무감사,교육위원회,제298회[정례회](2020.11.02 ~ 2020.12.22),"서울시교육청 대변인, 감사관, 총무과, 기획조정실, 11개 교육지원청, 교육연구정보원(1)",2020.11.03 화요일,이호대 위원,10,"얼마 전 국정감사 있었어요. 최근 국정감사, 지난 것은 지금 자료로 받았는데 바로 얼마 전에 있었던 국정감사 질의답변 정리된 게 있다면 제출해 주시기 바랍니다. 이상입니다.",위원
